"model","method","se_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","error_design","rho","df_correction","K_smooth","source_file","n","T","configuration"
"np","bam_fe","penalty",0.9375,0.180630568413628,0.917999999999994,0.272090465223671,2.95256311987713,9.06515352621678,19,0.477113343485094,0,0,0.919,0.942,0.935,0.933,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_re","classic",0.99528,0.300601389166129,0.999,0.487310125617869,3.17732509465427,9.07321931597559,19,0.477537858735557,0,0,0.985,0.997,0.997,0.996,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_re","penalty",0.92266,0.176952429630777,0.880000000000003,0.267012608335376,2.95762420773673,9.07321931597559,19,0.477537858735557,0,0,0.898,0.917,0.929,0.922,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_fd","classic",0.99644,0.289671049735535,0.999,0.469190665116763,3.17453189122268,9.52984393097743,19,0.501570733209338,0,0,0.989,0.999,0.997,1,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_fd","penalty",0.944720000000001,0.178538771920025,0.921,0.270081466695125,2.96492662619537,9.52984393097743,19,0.501570733209338,0,0,0.925,0.939,0.954,0.952,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_fe","classic",0.99764,0.301732470245057,1,0.488832063960124,3.17531559828322,9.03852189990426,19,0.475711678942329,0,0,0.994,0.997,0.998,0.998,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_fe","penalty",0.943780000000001,0.181769302243365,0.920999999999999,0.273524185837607,2.94953984083505,9.03852189990426,19,0.475711678942329,0,0,0.932,0.939,0.938,0.954,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_re","classic",0.99694,0.301929396086823,1,0.489150317936676,3.17529935094751,9.05045657903423,19,0.47633981994917,0,0,0.986,0.998,0.999,0.999,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_re","penalty",0.929099999999999,0.17820865444864,0.907,0.268603975539296,2.95429918865136,9.05045657903423,19,0.47633981994917,0,0,0.902,0.922,0.933,0.927,"hetero_ar1",0.5,"substantive",20,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_fd","classic",0.99978,0.420089485525861,1,0.700044774196575,3.26607058030443,9.86145129508479,39,0.252857725514995,0,0,0.998,1,1,0.999,"hetero_ar1",0.5,"substantive",40,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_fd","penalty",0.9409,0.176661435808847,0.909999999999996,0.267987642510756,2.97331893508869,9.86145129508479,39,0.252857725514995,0,0,0.931,0.948,0.941,0.94,"hetero_ar1",0.5,"substantive",40,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_fe","classic",0.99978,0.437673960901591,1,0.729126106345854,3.2651261496083,9.25999093663732,39,0.237435665041982,0,0,0.998,1,1,1,"hetero_ar1",0.5,"substantive",40,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_fe","penalty",0.93748,0.180609842898749,0.916000000000003,0.27212971625922,2.95330108264171,9.25999093663732,39,0.237435665041982,0,0,0.917,0.943,0.934,0.933,"hetero_ar1",0.5,"substantive",40,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_re","classic",0.9998,0.437919442511892,1,0.729524257625788,3.26507021669385,9.26859178585419,39,0.237656199637287,0,0,0.998,1,1,1,"hetero_ar1",0.5,"substantive",40,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_re","penalty",0.922419999999999,0.176931757474866,0.878999999999998,0.267031794694326,2.95816363514194,9.26859178585419,39,0.237656199637287,0,0,0.899,0.917,0.928,0.922,"hetero_ar1",0.5,"substantive",40,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_fd","classic",0.99978,0.424655341324593,0.999,0.707830485228315,3.26684853424635,9.79034086775816,39,0.251034381224568,0,0,0.997,1,1,1,"hetero_ar1",0.5,"substantive",40,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_fd","penalty",0.94424,0.178644721771708,0.920999999999999,0.270379830304126,2.96644255648153,9.79034086775816,39,0.251034381224568,0,0,0.927,0.94,0.951,0.949,"hetero_ar1",0.5,"substantive",40,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_fe","classic",0.99994,0.439100866559091,1,0.73143016651912,3.26479508004762,9.23378624604128,39,0.236763749898494,0,0,0.999,1,1,1,"hetero_ar1",0.5,"substantive",40,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_fe","penalty",0.94368,0.181771744142171,0.918999999999999,0.273570204889024,2.95001220468244,9.23378624604128,39,0.236763749898494,0,0,0.932,0.94,0.937,0.953,"hetero_ar1",0.5,"substantive",40,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_re","classic",0.9999,0.439342205075203,1,0.731837928547321,3.26480940645367,9.24646693303039,39,0.237088895718728,0,0,0.998,1,1,1,"hetero_ar1",0.5,"substantive",40,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_re","penalty",0.929240000000002,0.178210420922212,0.905999999999998,0.268657562942607,2.95488780698685,9.24646693303039,39,0.237088895718728,0,0,0.902,0.922,0.936,0.927,"hetero_ar1",0.5,"substantive",40,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_fd","classic",0.962099999999999,0.12965395155876,0.961,0.196775010827408,2.97463343246879,8.31856327426268,9,0.924284808251409,1,0,0.94,0.974,0.964,0.968,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"np","bam_fd","penalty",0.948119999999999,0.120747162854853,0.927,0.181793469572559,2.95094386545991,8.31856327426268,9,0.924284808251409,1,0,0.928,0.959,0.947,0.948,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"np","bam_fe","classic",0.964679999999999,0.147058933824849,0.962000000000006,0.223104608552897,2.97340730013019,8.06536033214005,9,0.896151148015562,0.286000000000005,0,0.951,0.96,0.958,0.972,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"np","bam_fe","penalty",0.94582,0.133557474286569,0.929999999999994,0.200444102977652,2.94152606413549,8.06536033214005,9,0.896151148015562,0.286000000000005,0,0.931,0.948,0.931,0.95,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"np","bam_re","classic",0.9596,0.147107413423159,0.960999999999995,0.223173255089064,2.97334052738517,8.0660222828438,9,0.896224698093756,0.294000000000008,0,0.936,0.961,0.957,0.966,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
"np","bam_re","penalty",0.937,0.132363430040034,0.909000000000006,0.198796642153133,2.94367066578229,8.0660222828438,9,0.896224698093756,0.294000000000008,0,0.915,0.927,0.934,0.947,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T8_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,"n=200, T=8"
