"dgp","method","mean_mse","sd_mse","se_mse","median_mse","mean_rmse","K_smooth","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","error_design","rho","source_file","n","T","K_smooth_file","configuration","rmse_times_100"
"quadratic","mgcv::bam FD",0.000340506289203131,0.00027908072258895,8.82530734426687e-06,0.00026330833311621,0.0171077180686505,10,3.97999607547948,9,0.442221786164386,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",1.71077180686505
"sin_2pi","linear FE",0.231199762185108,0.00779960830435983,0.000246645270989408,0.230723249603483,0.480764291222285,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",48.0764291222285
"sin_2pi","linear FD",0.231642073200669,0.00813044846649685,0.000257107355527533,0.231505764565528,0.481218551427421,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",48.1218551427421
"sin_2pi","spline FE, fixed K",0.00060637232814521,0.000351861791737124,1.11268468347712e-05,0.000529080972985314,0.0236622360662359,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",2.36622360662359
"sin_2pi","FD spline, fixed K",0.000560333781264408,0.000336973644255732,1.06560422729543e-05,0.000496493311655938,0.0227043087519746,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",2.27043087519746
"sin_2pi","mgcv::bam FE",0.000675345790815476,0.000360176206667792,1.13897717206975e-05,0.00060285739956861,0.0251228613706223,10,8.43787834112568,9,0.937542037902853,1,0.006,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",2.51228613706223
"sin_2pi","mgcv::bam RE",0.000730370081556021,0.00084335552782898,2.6669243452331e-05,0.000609969980530354,0.0255979171619377,10,8.43613294100908,9,0.937348104556564,0.996,0.006,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",2.55979171619377
"sin_2pi","mgcv::bam FD",0.000630081325017964,0.000339424437357191,1.07335431556987e-05,0.000558842908698048,0.0242670748644549,10,8.53952314403697,9,0.948835904892997,1,0.383,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",2.42670748644549
"linear","linear FE",0.0001670653586482,0.000231311975749691,7.31472693442657e-06,7.93944582576628e-05,0.0103485966398684,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",1.03485966398684
"linear","linear FD",0.000148977357537481,0.000209446659227896,6.62328491473273e-06,7.21592806593657e-05,0.00982126617464948,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",0.982126617464948
"linear","spline FE, fixed K",0.000610937750770572,0.000345848176253785,1.09366796157732e-05,0.000551882191785205,0.0237802566227432,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",2.37802566227432
"linear","FD spline, fixed K",0.00054566078853854,0.000310120007150463,9.80685570583169e-06,0.000486441829922623,0.0224747869778198,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",2.24747869778198
"linear","mgcv::bam FE",0.000204376614231233,0.000256323626132351,8.10566476691684e-06,0.000126109191376629,0.0118646305573858,20,1.32406653053029,19,0.0696877121331731,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",1.18646305573858
"linear","mgcv::bam RE",0.000214453863230811,0.000264949537146073,8.3784400238898e-06,0.000121094994591622,0.0121284009538254,20,1.31705661254924,19,0.0693187690815391,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",1.21284009538254
"linear","mgcv::bam FD",0.000198174383180126,0.000238476618434711,7.54129282948584e-06,0.000115750388327952,0.0118156162665793,20,1.45686536479081,19,0.0766771244626744,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",1.18156162665793
"quadratic","linear FE",0.00359008055281191,0.000349442364904402,1.1050337840536e-05,0.0035153679513515,0.0598514694068183,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",5.98514694068183
"quadratic","linear FD",0.00359000310480406,0.000335617662336709,1.06131623596531e-05,0.00352540492433248,0.0598552448475847,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",5.98552448475847
"quadratic","spline FE, fixed K",0.000609611881716344,0.000369861727371717,1.16960547781887e-05,0.000531487512474684,0.0236917072940282,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam20_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,20,"n=200, T=4",2.36917072940282
