"configuration","model","method","K_smooth","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","block"
"n=200, T=4","quadratic","mgcv::bam RE",20,3.78256577290321,19,0.199082409100169,0,0,"mse"
"n=200, T=4","quadratic","mgcv::bam RE",40,3.80027865876713,39,0.0974430425324904,0,0,"mse"
"n=200, T=4","sin_2pi","mgcv::bam FD",10,8.53952314403697,9,0.948835904892997,1,0.383,"mse"
"n=200, T=4","sin_2pi","mgcv::bam FD",20,12.0452411537739,19,0.633960060724941,0,0,"mse"
"n=200, T=4","sin_2pi","mgcv::bam FD",40,12.7732655091794,39,0.327519628440498,0,0,"mse"
"n=200, T=4","sin_2pi","mgcv::bam FE",10,8.43787834112568,9,0.937542037902853,1,0.006,"mse"
"n=200, T=4","sin_2pi","mgcv::bam FE",20,11.4903556218919,19,0.60475555904694,0,0,"mse"
"n=200, T=4","sin_2pi","mgcv::bam FE",40,12.0467954975085,39,0.308892192243809,0,0,"mse"
"n=200, T=4","sin_2pi","mgcv::bam RE",10,8.43613294100908,9,0.937348104556564,0.996,0.006,"mse"
"n=200, T=4","sin_2pi","mgcv::bam RE",20,11.493144735766,19,0.604902354514002,0,0,"mse"
"n=200, T=4","sin_2pi","mgcv::bam RE",40,12.0502244215023,39,0.308980113371855,0,0,"mse"
"n=200, T=8","linear","mgcv::bam FD",10,1.48094999466076,9,0.164549999406751,0,0,"mse"
"n=200, T=8","linear","mgcv::bam FD",20,1.4988134777344,19,0.0788849198807578,0,0,"mse"
"n=200, T=8","linear","mgcv::bam FD",40,1.50030658663139,39,0.0384693996572152,0,0,"mse"
"n=200, T=8","linear","mgcv::bam FE",10,1.31323273667889,9,0.145914748519876,0,0,"mse"
"n=200, T=8","linear","mgcv::bam FE",20,1.3301768819645,19,0.0700093095770791,0,0,"mse"
"n=200, T=8","linear","mgcv::bam FE",40,1.33035156624464,39,0.0341115786216575,0,0,"mse"
"n=200, T=8","linear","mgcv::bam RE",10,1.31441404932527,9,0.146046005480585,0,0,"mse"
"n=200, T=8","linear","mgcv::bam RE",20,1.33169403362885,19,0.0700891596646765,0,0,"mse"
"n=200, T=8","linear","mgcv::bam RE",40,1.34627218982948,39,0.0345197997392173,0,0,"mse"
"n=200, T=8","quadratic","mgcv::bam FD",10,4.68628019543142,9,0.52069779949238,0,0,"mse"
"n=200, T=8","quadratic","mgcv::bam FD",20,4.84680161649749,19,0.25509482192092,0,0,"mse"
"n=200, T=8","quadratic","mgcv::bam FD",40,4.86458950428869,39,0.12473306421253,0,0,"mse"
"n=200, T=8","quadratic","mgcv::bam FE",10,4.2353900557517,9,0.470598895083522,0,0,"mse"
"n=200, T=8","quadratic","mgcv::bam FE",20,4.32824928236545,19,0.227802593808708,0,0,"mse"
"n=200, T=8","quadratic","mgcv::bam FE",40,4.33816035428613,39,0.111234880879132,0,0,"mse"
"n=200, T=8","quadratic","mgcv::bam RE",10,4.23582206066067,9,0.470646895628963,0,0,"mse"
"n=200, T=8","quadratic","mgcv::bam RE",20,4.32867631482738,19,0.227825069201441,0,0,"mse"
"n=200, T=8","quadratic","mgcv::bam RE",40,4.34263790414808,39,0.111349689849951,0,0,"mse"
"n=200, T=8","sin_2pi","mgcv::bam FD",10,8.77798068997146,9,0.975331187774607,1,1,"mse"
"n=200, T=8","sin_2pi","mgcv::bam FD",20,13.7048357214357,19,0.72130714323346,0,0,"mse"
"n=200, T=8","sin_2pi","mgcv::bam FD",40,15.0578954224824,39,0.386099882627754,0,0,"mse"
"n=200, T=8","sin_2pi","mgcv::bam FE",10,8.67044102595142,9,0.963382336216825,1,1,"mse"
"n=200, T=8","sin_2pi","mgcv::bam FE",20,12.7445738101927,19,0.670767042641724,0,0,"mse"
"n=200, T=8","sin_2pi","mgcv::bam FE",40,13.6432159083427,39,0.349826048931863,0,0,"mse"
"n=200, T=8","sin_2pi","mgcv::bam RE",10,8.66452598861733,9,0.962725109846371,0.992,0.992,"mse"
"n=200, T=8","sin_2pi","mgcv::bam RE",20,12.7447996331953,19,0.67077892806291,0,0,"mse"
"n=200, T=8","sin_2pi","mgcv::bam RE",40,13.6433887667326,39,0.349830481198272,0,0,"mse"
"n=500, T=4","linear","mgcv::bam FD",10,1.47572872647049,9,0.163969858496721,0,0,"mse"
"n=500, T=4","linear","mgcv::bam FD",20,1.48703434916188,19,0.0782649657453622,0,0,"mse"
"n=500, T=4","linear","mgcv::bam FD",40,1.48842227204481,39,0.0381646736421747,0,0,"mse"
"n=500, T=4","linear","mgcv::bam FE",10,1.33893740869544,9,0.148770823188382,0,0,"mse"
"n=500, T=4","linear","mgcv::bam FE",20,1.3416224640957,19,0.0706117086366155,0,0,"mse"
"n=500, T=4","linear","mgcv::bam FE",40,1.34198379601584,39,0.0344098409234831,0,0,"mse"
"n=500, T=4","linear","mgcv::bam RE",10,1.33224769224487,9,0.148027521360541,0,0,"mse"
"n=500, T=4","linear","mgcv::bam RE",20,1.33581430200906,19,0.0703060158952138,0,0,"mse"
"n=500, T=4","linear","mgcv::bam RE",40,1.34488087632774,39,0.0344841250340445,0,0,"mse"
"n=500, T=4","quadratic","mgcv::bam FD",10,4.73289503598513,9,0.52587722622057,0,0,"mse"
"n=500, T=4","quadratic","mgcv::bam FD",20,4.89578006533927,19,0.257672635017856,0,0,"mse"
"n=500, T=4","quadratic","mgcv::bam FD",40,4.9132486537096,39,0.125980734710503,0,0,"mse"
"n=500, T=4","quadratic","mgcv::bam FE",10,4.44870857054615,9,0.494300952282905,0,0,"mse"
"n=500, T=4","quadratic","mgcv::bam FE",20,4.56051305702193,19,0.240027003001154,0,0,"mse"
"n=500, T=4","quadratic","mgcv::bam FE",40,4.57258725851981,39,0.117245827141534,0,0,"mse"
"n=500, T=4","quadratic","mgcv::bam RE",10,4.44967900047339,9,0.494408777830377,0,0,"mse"
"n=500, T=4","quadratic","mgcv::bam RE",20,4.56126833118301,19,0.24006675427279,0,0,"mse"
"n=500, T=4","quadratic","mgcv::bam RE",40,4.58618269972575,39,0.117594428198096,0,0,"mse"
"n=500, T=4","sin_2pi","mgcv::bam FD",10,8.79159845838411,9,0.97684427315379,1,1,"mse"
"n=500, T=4","sin_2pi","mgcv::bam FD",20,13.8204614530887,19,0.7273927080573,0,0,"mse"
"n=500, T=4","sin_2pi","mgcv::bam FD",40,15.2189106273898,39,0.390228477625379,0,0,"mse"
"n=500, T=4","sin_2pi","mgcv::bam FE",10,8.73802352670188,9,0.970891502966876,1,1,"mse"
"n=500, T=4","sin_2pi","mgcv::bam FE",20,13.2568648122974,19,0.697729726963022,0,0,"mse"
"n=500, T=4","sin_2pi","mgcv::bam FE",40,14.3437431962969,39,0.367788287084537,0,0,"mse"
"n=500, T=4","sin_2pi","mgcv::bam RE",10,8.72479168675078,9,0.969421298527864,0.983,0.983,"mse"
"n=500, T=4","sin_2pi","mgcv::bam RE",20,13.2596487710329,19,0.697876251106995,0,0,"mse"
"n=500, T=4","sin_2pi","mgcv::bam RE",40,14.3474400964523,39,0.367883079396212,0,0,"mse"
