"method","n_success","rejection_classic_cluster","rejection_penalty_cluster","rejection_wild_boot","mean_beta_hat","sd_beta_hat","mean_se_classic_cluster","mean_se_penalty_cluster","mean_p_boot","min_boot_success","mean_boot_success","K_smooth","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","error_design","rho","df_correction","source_file","n","T","beta_true","configuration"
"bam_fd",1000,0.482,0.525,NA,1.07527679689948,0.0373181999040161,0.0392232771406257,0.0371589442608788,NA,NA,NA,40,9.81211838295981,39,0.251592779050252,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1p075_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1.075,"n=200, T=4"
"bam_fe",1000,0.453,0.486,NA,1.07493399150094,0.0380175902766621,0.0402455338400524,0.0385072824908336,NA,NA,NA,40,9.23271397122258,39,0.236736255672374,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1p075_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1.075,"n=200, T=4"
"bam_re",1000,0.497,0.545,NA,1.07870414120572,0.0378088527006452,0.0402597342645494,0.0381282541165173,NA,NA,NA,40,9.24288793300209,39,0.236997126487233,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1p075_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1.075,"n=200, T=4"
"bam_fd",1000,0.057,0.058,NA,0.999435032734183,0.0258620942905646,0.0250692716994854,0.0250483154530529,NA,NA,NA,10,8.30998484265798,9,0.92333164918422,1,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1,"n=200, T=8"
"bam_fe",1000,0.062,0.062,NA,0.999192232384761,0.0286315307923068,0.0278413629243237,0.02781598982478,NA,NA,NA,10,8.06068176974739,9,0.89563130774971,0.285,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1,"n=200, T=8"
"bam_re",1000,0.057,0.057,NA,1.00125201142097,0.0286215297739239,0.0278445505120806,0.0277264324897285,NA,NA,NA,10,8.06144082475779,9,0.89571564719531,0.284,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1,"n=200, T=8"
"bam_fd",1000,0.056,0.058,NA,0.999438655470849,0.0258411581264479,0.0251888919909806,0.025015357103978,NA,NA,NA,20,11.0689470771654,19,0.582576161956074,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1,"n=200, T=8"
"bam_fe",1000,0.059,0.062,NA,0.999184851490905,0.0286538167910109,0.0279714386400261,0.0278002537116009,NA,NA,NA,20,10.1619893004044,19,0.534841542126547,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1,"n=200, T=8"
"bam_re",1000,0.052,0.056,NA,1.00124651863812,0.0286421747372263,0.0279747292844623,0.0277107630369724,NA,NA,NA,20,10.1631655830164,19,0.534903451737703,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1,"n=200, T=8"
"bam_fd",1000,0.051,0.059,NA,0.999441983877139,0.0258411578590652,0.0255367016346224,0.0250057093398077,NA,NA,NA,40,11.5692085191848,39,0.296646372286789,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T8_sine_g_btrue1_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,8,1,"n=200, T=8"
