"para","s(log_wage)","s(log_capital)","s(log_output)","term_explained"
1,0.00987071101234651,0.00824564978519291,0.00975170797942932,"para"
0.151865279272254,1,0.0388885560651217,0.0388580735577254,"s(log_wage)"
0.132450043431992,0.0397312491733458,1,0.024795509703311,"s(log_capital)"
0.157633671140225,0.0355696011488135,0.0253141805876868,1,"s(log_output)"
