"model","variable","label","x","estimate"
"Linear FE","log_wage","Log wages",2.99278992908893,-0.0116873658046143
"Linear FE","log_wage","Log wages",2.99994770038879,-0.0138123414054534
"Linear FE","log_wage","Log wages",3.00710547168865,-0.0159373170062924
"Linear FE","log_wage","Log wages",3.01426324298851,-0.0180622926071313
"Linear FE","log_wage","Log wages",3.02142101428837,-0.0201872682079703
"Linear FE","log_wage","Log wages",3.02857878558824,-0.0223122438088092
"Linear FE","log_wage","Log wages",3.0357365568881,-0.0244372194096483
"Linear FE","log_wage","Log wages",3.04289432818796,-0.0265621950104873
"Linear FE","log_wage","Log wages",3.05005209948782,-0.0286871706113262
"Linear FE","log_wage","Log wages",3.05720987078769,-0.0308121462121652
"Linear FE","log_wage","Log wages",3.06436764208755,-0.0329371218130041
"Linear FE","log_wage","Log wages",3.07152541338741,-0.0350620974138432
"Linear FE","log_wage","Log wages",3.07868318468727,-0.037187073014682
"Linear FE","log_wage","Log wages",3.08584095598713,-0.0393120486155211
"Linear FE","log_wage","Log wages",3.092998727287,-0.0414370242163601
"Linear FE","log_wage","Log wages",3.10015649858686,-0.043561999817199
"Linear FE","log_wage","Log wages",3.10731426988672,-0.045686975418038
"Linear FE","log_wage","Log wages",3.11447204118658,-0.047811951018877
"Linear FE","log_wage","Log wages",3.12162981248644,-0.049936926619716
"Linear FE","log_wage","Log wages",3.12878758378631,-0.052061902220555
"Linear FE","log_wage","Log wages",3.13594535508617,-0.054186877821394
"Linear FE","log_wage","Log wages",3.14310312638603,-0.0563118534222329
"Linear FE","log_wage","Log wages",3.15026089768589,-0.0584368290230719
"Linear FE","log_wage","Log wages",3.15741866898576,-0.060561804623911
"Linear FE","log_wage","Log wages",3.16457644028562,-0.0626867802247499
"Linear FE","log_wage","Log wages",3.17173421158548,-0.0648117558255889
"Linear FE","log_wage","Log wages",3.17889198288534,-0.0669367314264278
"Linear FE","log_wage","Log wages",3.1860497541852,-0.0690617070272668
"Linear FE","log_wage","Log wages",3.19320752548507,-0.0711866826281059
"Linear FE","log_wage","Log wages",3.20036529678493,-0.0733116582289447
"Linear FE","log_wage","Log wages",3.20752306808479,-0.0754366338297838
"Linear FE","log_wage","Log wages",3.21468083938465,-0.0775616094306227
"Linear FE","log_wage","Log wages",3.22183861068451,-0.0796865850314617
"Linear FE","log_wage","Log wages",3.22899638198438,-0.0818115606323006
"Linear FE","log_wage","Log wages",3.23615415328424,-0.0839365362331396
"Linear FE","log_wage","Log wages",3.2433119245841,-0.0860615118339787
"Linear FE","log_wage","Log wages",3.25046969588396,-0.0881864874348176
"Linear FE","log_wage","Log wages",3.25762746718383,-0.0903114630356566
"Linear FE","log_wage","Log wages",3.26478523848369,-0.0924364386364955
"Linear FE","log_wage","Log wages",3.27194300978355,-0.0945614142373345
"Linear FE","log_wage","Log wages",3.27910078108341,-0.0966863898381736
"Linear FE","log_wage","Log wages",3.28625855238327,-0.0988113654390125
"Linear FE","log_wage","Log wages",3.29341632368314,-0.100936341039851
"Linear FE","log_wage","Log wages",3.300574094983,-0.10306131664069
"Linear FE","log_wage","Log wages",3.30773186628286,-0.105186292241529
"Linear FE","log_wage","Log wages",3.31488963758272,-0.107311267842368
"Linear FE","log_wage","Log wages",3.32204740888258,-0.109436243443207
"Linear FE","log_wage","Log wages",3.32920518018245,-0.111561219044046
"Linear FE","log_wage","Log wages",3.33636295148231,-0.113686194644885
"Linear FE","log_wage","Log wages",3.34352072278217,-0.115811170245724
"Linear FE","log_wage","Log wages",3.35067849408203,-0.117936145846563
"Linear FE","log_wage","Log wages",3.3578362653819,-0.120061121447402
"Linear FE","log_wage","Log wages",3.36499403668176,-0.122186097048241
"Linear FE","log_wage","Log wages",3.37215180798162,-0.12431107264908
"Linear FE","log_wage","Log wages",3.37930957928148,-0.126436048249919
"Linear FE","log_wage","Log wages",3.38646735058134,-0.128561023850758
"Linear FE","log_wage","Log wages",3.39362512188121,-0.130685999451597
"Linear FE","log_wage","Log wages",3.40078289318107,-0.132810975052436
"Linear FE","log_wage","Log wages",3.40794066448093,-0.134935950653275
"Linear FE","log_wage","Log wages",3.41509843578079,-0.137060926254114
"Linear FE","log_wage","Log wages",3.42225620708065,-0.139185901854953
"Linear FE","log_wage","Log wages",3.42941397838052,-0.141310877455792
"Linear FE","log_wage","Log wages",3.43657174968038,-0.143435853056631
"Linear FE","log_wage","Log wages",3.44372952098024,-0.14556082865747
"Linear FE","log_wage","Log wages",3.4508872922801,-0.147685804258309
"Linear FE","log_wage","Log wages",3.45804506357997,-0.149810779859148
"Linear FE","log_wage","Log wages",3.46520283487983,-0.151935755459987
"Linear FE","log_wage","Log wages",3.47236060617969,-0.154060731060826
"Linear FE","log_wage","Log wages",3.47951837747955,-0.156185706661665
"Linear FE","log_wage","Log wages",3.48667614877941,-0.158310682262504
"Linear FE","log_wage","Log wages",3.49383392007928,-0.160435657863343
"Linear FE","log_wage","Log wages",3.50099169137914,-0.162560633464182
"Linear FE","log_wage","Log wages",3.508149462679,-0.164685609065021
"Linear FE","log_wage","Log wages",3.51530723397886,-0.16681058466586
"Linear FE","log_wage","Log wages",3.52246500527872,-0.168935560266699
"Linear FE","log_wage","Log wages",3.52962277657859,-0.171060535867538
"Linear FE","log_wage","Log wages",3.53678054787845,-0.173185511468377
"Linear FE","log_wage","Log wages",3.54393831917831,-0.175310487069216
"Linear FE","log_wage","Log wages",3.55109609047817,-0.177435462670055
"Linear FE","log_wage","Log wages",3.55825386177803,-0.179560438270894
"Linear FE","log_wage","Log wages",3.5654116330779,-0.181685413871733
"Linear FE","log_wage","Log wages",3.57256940437776,-0.183810389472572
"Linear FE","log_wage","Log wages",3.57972717567762,-0.185935365073411
"Linear FE","log_wage","Log wages",3.58688494697748,-0.18806034067425
"Linear FE","log_wage","Log wages",3.59404271827735,-0.190185316275089
"Partially linear FE","log_wage","Log wages",2.31280165560202,0.218631104464512
"Partially linear FE","log_wage","Log wages",2.31995942690189,0.216188298828037
"Partially linear FE","log_wage","Log wages",2.32711719820175,0.213745493191562
"Partially linear FE","log_wage","Log wages",2.33427496950161,0.211302687555087
"Partially linear FE","log_wage","Log wages",2.34143274080147,0.208859881918612
"Partially linear FE","log_wage","Log wages",2.34859051210133,0.206417076282137
"Partially linear FE","log_wage","Log wages",2.3557482834012,0.203974270645662
"Partially linear FE","log_wage","Log wages",2.36290605470106,0.201531465009187
"Partially linear FE","log_wage","Log wages",2.37006382600092,0.199088659372712
"Partially linear FE","log_wage","Log wages",2.37722159730078,0.196645853736237
"Partially linear FE","log_wage","Log wages",2.38437936860064,0.194203048099762
"Partially linear FE","log_wage","Log wages",2.39153713990051,0.191760242463287
"Partially linear FE","log_wage","Log wages",2.39869491120037,0.189317436826812
"Partially linear FE","log_wage","Log wages",2.40585268250023,0.186874631190337
"Partially linear FE","log_wage","Log wages",2.41301045380009,0.184431825553862
"Partially linear FE","log_wage","Log wages",2.42016822509996,0.181989019917387
"Partially linear FE","log_wage","Log wages",2.42732599639982,0.179546214280912
"Partially linear FE","log_wage","Log wages",2.43448376769968,0.177103408644437
"Partially linear FE","log_wage","Log wages",2.44164153899954,0.174660603007962
"Partially linear FE","log_wage","Log wages",2.4487993102994,0.172217797371487
"Partially linear FE","log_wage","Log wages",2.45595708159927,0.169774991735012
"Partially linear FE","log_wage","Log wages",2.46311485289913,0.167332186098537
"Partially linear FE","log_wage","Log wages",2.47027262419899,0.164889380462062
"Partially linear FE","log_wage","Log wages",2.47743039549885,0.162446574825587
"Partially linear FE","log_wage","Log wages",2.48458816679871,0.160003769189112
"Partially linear FE","log_wage","Log wages",2.49174593809858,0.157560963552637
"Partially linear FE","log_wage","Log wages",2.49890370939844,0.155118157916162
"Partially linear FE","log_wage","Log wages",2.5060614806983,0.152675352279687
"Partially linear FE","log_wage","Log wages",2.51321925199816,0.150232546643212
"Partially linear FE","log_wage","Log wages",2.52037702329803,0.147789741006737
