"model","wage_edf","capital_edf","output_edf","model_df","RMSE","AIC","BIC"
"Linear FE",1,1,1,152,0.117966511747977,-1177.37371021333,-426.754468642747
"Partially linear FE",1,1,2.86677336129084,154.683413772719,0.117198132155087,-1185.48173443653,-421.611032267934
"Additive GAM FE",8.83750508204152,11.611705831272,2.51366481349686,175.679223888938,0.111141905704325,-1252.89596833995,-385.34198284506
"Partially linear FD",1,1,0.955124493251195,11.9981919747517,0.107360855243886,-1424.09442775196,-1366.59495930204
