"variable","label","linear_estimate","linear_cluster_se","pl_estimate","pl_cluster_se","fd_estimate","fd_cluster_se"
"log_wage","Log wages",-0.29687671089462,0.126299735648332,-0.341280202193949,0.129405047961583,-0.429755922107972,0.16293075779044
"log_capital","Log capital",0.547559781779493,0.0507089848922991,0.54465856693735,0.0496941410691647,0.397026232788569,0.0554368901853041
"log_output","Log output",0.264824872662099,0.152961427253247,NA,NA,NA,NA
