"sim","method","beta_hat","se_classic_cluster","t_classic_cluster","reject_classic_cluster","se_penalty_cluster","t_penalty_cluster","reject_penalty_cluster","p_boot","reject_wild_boot","boot_success","K_smooth","smooth_edf","edf_ceiling","edf_ratio","binding_90","binding_95","error_design","rho","df_correction"
1,"bam_fe",0.962837474312679,0.0407209133385244,-0.912615229879029,0,0.0399874723340103,-0.929354208160685,0,NA,NA,NA,20,8.96441247862303,19,0.471811183085423,0,0,"hetero_ar1",0.5,"substantive"
1,"bam_re",0.96885987518599,0.0406723758606607,-0.765633286845418,0,0.0395911595860315,-0.786542378137282,0,NA,NA,NA,20,8.93199182949529,19,0.470104833131331,0,0,"hetero_ar1",0.5,"substantive"
1,"bam_fd",0.99015468739011,0.0377142906239896,-0.261049921581374,0,0.0369080905675288,-0.26675215267168,0,NA,NA,NA,20,9.61427519864344,19,0.506014484139128,0,0,"hetero_ar1",0.5,"substantive"
2,"bam_fe",0.949535008750562,0.0358003945761921,-1.40962109068481,0,0.0356655600612508,-1.41495019741094,0,NA,NA,NA,20,8.68583858366803,19,0.457149399140423,0,0,"hetero_ar1",0.5,"substantive"
2,"bam_re",0.951673911533577,0.0359935897507358,-1.34263041839095,0,0.0356145569357167,-1.35691954707312,0,NA,NA,NA,20,8.68910756195183,19,0.457321450629044,0,0,"hetero_ar1",0.5,"substantive"
2,"bam_fd",0.940997126409402,0.0377273881840282,-1.56392680306389,0,0.0374645838143766,-1.57489734526174,0,NA,NA,NA,20,9.10223337992623,19,0.479064914732959,0,0,"hetero_ar1",0.5,"substantive"
3,"bam_fe",1.00496203622442,0.0434809216793665,0.114119849183711,0,0.0429639639841598,0.115492979796917,0,NA,NA,NA,20,8.8213972511221,19,0.464284065848532,0,0,"hetero_ar1",0.5,"substantive"
3,"bam_re",1.0030244549547,0.0433508589522734,0.0697668979991585,0,0.0422997753060925,0.0715004969367661,0,NA,NA,NA,20,8.81944358009934,19,0.46418124105786,0,0,"hetero_ar1",0.5,"substantive"
3,"bam_fd",1.00960147793277,0.0430949953468986,0.222797980495913,0,0.042757931969945,0.224554310519946,0,NA,NA,NA,20,9.30383653197779,19,0.4896756069462,0,0,"hetero_ar1",0.5,"substantive"
4,"bam_fe",0.962209298612812,0.0389849786362592,-0.969365707232668,0,0.0387374454702225,-0.97555997636028,0,NA,NA,NA,20,9.387695889166,19,0.494089257324526,0,0,"hetero_ar1",0.5,"substantive"
4,"bam_re",0.96787435054572,0.0388042122517998,-0.827890777573781,0,0.0382507937253261,-0.8398688321338,0,NA,NA,NA,20,9.3967447433822,19,0.49456551280959,0,0,"hetero_ar1",0.5,"substantive"
