"model","method","se_type","x","point_coverage","df_correction"
"np","bam_fd","classic",0.05,0.957,"substantive"
"pl","bam_fd","classic",0.05,0.952,"substantive"
"np","bam_fe","classic",0.05,0.955,"substantive"
"pl","bam_fe","classic",0.05,0.947,"substantive"
"np","bam_re","classic",0.05,0.946,"substantive"
"pl","bam_re","classic",0.05,0.927,"substantive"
"np","bam_fd","penalty",0.05,0.951,"substantive"
"pl","bam_fd","penalty",0.05,0.94,"substantive"
"np","bam_fe","penalty",0.05,0.941,"substantive"
"pl","bam_fe","penalty",0.05,0.941,"substantive"
"np","bam_re","penalty",0.05,0.923,"substantive"
"pl","bam_re","penalty",0.05,0.91,"substantive"
"np","bam_fd","classic",0.0683673469387755,0.966,"substantive"
"pl","bam_fd","classic",0.0683673469387755,0.961,"substantive"
"np","bam_fe","classic",0.0683673469387755,0.969,"substantive"
"pl","bam_fe","classic",0.0683673469387755,0.965,"substantive"
"np","bam_re","classic",0.0683673469387755,0.951,"substantive"
"pl","bam_re","classic",0.0683673469387755,0.941,"substantive"
"np","bam_fd","penalty",0.0683673469387755,0.944,"substantive"
"pl","bam_fd","penalty",0.0683673469387755,0.935,"substantive"
"np","bam_fe","penalty",0.0683673469387755,0.947,"substantive"
"pl","bam_fe","penalty",0.0683673469387755,0.946,"substantive"
"np","bam_re","penalty",0.0683673469387755,0.916,"substantive"
"pl","bam_re","penalty",0.0683673469387755,0.9,"substantive"
"np","bam_fd","classic",0.086734693877551,0.969,"substantive"
"pl","bam_fd","classic",0.086734693877551,0.97,"substantive"
"np","bam_fe","classic",0.086734693877551,0.97,"substantive"
"pl","bam_fe","classic",0.086734693877551,0.972,"substantive"
"np","bam_re","classic",0.086734693877551,0.955,"substantive"
"pl","bam_re","classic",0.086734693877551,0.955,"substantive"
"np","bam_fd","penalty",0.086734693877551,0.941,"substantive"
"pl","bam_fd","penalty",0.086734693877551,0.94,"substantive"
"np","bam_fe","penalty",0.086734693877551,0.946,"substantive"
"pl","bam_fe","penalty",0.086734693877551,0.938,"substantive"
"np","bam_re","penalty",0.086734693877551,0.911,"substantive"
"pl","bam_re","penalty",0.086734693877551,0.902,"substantive"
"np","bam_fd","classic",0.105102040816327,0.975,"substantive"
"pl","bam_fd","classic",0.105102040816327,0.971,"substantive"
"np","bam_fe","classic",0.105102040816327,0.972,"substantive"
"pl","bam_fe","classic",0.105102040816327,0.977,"substantive"
"np","bam_re","classic",0.105102040816327,0.958,"substantive"
"pl","bam_re","classic",0.105102040816327,0.953,"substantive"
"np","bam_fd","penalty",0.105102040816327,0.942,"substantive"
"pl","bam_fd","penalty",0.105102040816327,0.939,"substantive"
"np","bam_fe","penalty",0.105102040816327,0.938,"substantive"
"pl","bam_fe","penalty",0.105102040816327,0.944,"substantive"
"np","bam_re","penalty",0.105102040816327,0.912,"substantive"
"pl","bam_re","penalty",0.105102040816327,0.91,"substantive"
"np","bam_fd","classic",0.123469387755102,0.973,"substantive"
"pl","bam_fd","classic",0.123469387755102,0.97,"substantive"
"np","bam_fe","classic",0.123469387755102,0.972,"substantive"
"pl","bam_fe","classic",0.123469387755102,0.974,"substantive"
"np","bam_re","classic",0.123469387755102,0.952,"substantive"
"pl","bam_re","classic",0.123469387755102,0.953,"substantive"
"np","bam_fd","penalty",0.123469387755102,0.953,"substantive"
"pl","bam_fd","penalty",0.123469387755102,0.947,"substantive"
"np","bam_fe","penalty",0.123469387755102,0.934,"substantive"
"pl","bam_fe","penalty",0.123469387755102,0.945,"substantive"
"np","bam_re","penalty",0.123469387755102,0.91,"substantive"
"pl","bam_re","penalty",0.123469387755102,0.916,"substantive"
"np","bam_fd","classic",0.141836734693878,0.971,"substantive"
"pl","bam_fd","classic",0.141836734693878,0.964,"substantive"
"np","bam_fe","classic",0.141836734693878,0.963,"substantive"
"pl","bam_fe","classic",0.141836734693878,0.97,"substantive"
"np","bam_re","classic",0.141836734693878,0.944,"substantive"
"pl","bam_re","classic",0.141836734693878,0.948,"substantive"
"np","bam_fd","penalty",0.141836734693878,0.955,"substantive"
"pl","bam_fd","penalty",0.141836734693878,0.95,"substantive"
"np","bam_fe","penalty",0.141836734693878,0.936,"substantive"
"pl","bam_fe","penalty",0.141836734693878,0.941,"substantive"
"np","bam_re","penalty",0.141836734693878,0.905,"substantive"
"pl","bam_re","penalty",0.141836734693878,0.919,"substantive"
"np","bam_fd","classic",0.160204081632653,0.961,"substantive"
"pl","bam_fd","classic",0.160204081632653,0.961,"substantive"
"np","bam_fe","classic",0.160204081632653,0.953,"substantive"
"pl","bam_fe","classic",0.160204081632653,0.962,"substantive"
"np","bam_re","classic",0.160204081632653,0.939,"substantive"
"pl","bam_re","classic",0.160204081632653,0.942,"substantive"
"np","bam_fd","penalty",0.160204081632653,0.946,"substantive"
"pl","bam_fd","penalty",0.160204081632653,0.953,"substantive"
"np","bam_fe","penalty",0.160204081632653,0.941,"substantive"
"pl","bam_fe","penalty",0.160204081632653,0.947,"substantive"
"np","bam_re","penalty",0.160204081632653,0.903,"substantive"
"pl","bam_re","penalty",0.160204081632653,0.914,"substantive"
"np","bam_fd","classic",0.178571428571429,0.961,"substantive"
"pl","bam_fd","classic",0.178571428571429,0.963,"substantive"
"np","bam_fe","classic",0.178571428571429,0.955,"substantive"
"pl","bam_fe","classic",0.178571428571429,0.964,"substantive"
"np","bam_re","classic",0.178571428571429,0.939,"substantive"
"pl","bam_re","classic",0.178571428571429,0.944,"substantive"
"np","bam_fd","penalty",0.178571428571429,0.951,"substantive"
"pl","bam_fd","penalty",0.178571428571429,0.95,"substantive"
"np","bam_fe","penalty",0.178571428571429,0.942,"substantive"
"pl","bam_fe","penalty",0.178571428571429,0.943,"substantive"
"np","bam_re","penalty",0.178571428571429,0.904,"substantive"
"pl","bam_re","penalty",0.178571428571429,0.922,"substantive"
"np","bam_fd","classic",0.196938775510204,0.965,"substantive"
"pl","bam_fd","classic",0.196938775510204,0.967,"substantive"
"np","bam_fe","classic",0.196938775510204,0.96,"substantive"
"pl","bam_fe","classic",0.196938775510204,0.975,"substantive"
"np","bam_re","classic",0.196938775510204,0.952,"substantive"
"pl","bam_re","classic",0.196938775510204,0.964,"substantive"
"np","bam_fd","penalty",0.196938775510204,0.949,"substantive"
"pl","bam_fd","penalty",0.196938775510204,0.952,"substantive"
"np","bam_fe","penalty",0.196938775510204,0.94,"substantive"
"pl","bam_fe","penalty",0.196938775510204,0.949,"substantive"
"np","bam_re","penalty",0.196938775510204,0.911,"substantive"
"pl","bam_re","penalty",0.196938775510204,0.917,"substantive"
"np","bam_fd","classic",0.21530612244898,0.97,"substantive"
"pl","bam_fd","classic",0.21530612244898,0.973,"substantive"
"np","bam_fe","classic",0.21530612244898,0.974,"substantive"
"pl","bam_fe","classic",0.21530612244898,0.983,"substantive"
"np","bam_re","classic",0.21530612244898,0.96,"substantive"
"pl","bam_re","classic",0.21530612244898,0.971,"substantive"
"np","bam_fd","penalty",0.21530612244898,0.945,"substantive"
"pl","bam_fd","penalty",0.21530612244898,0.95,"substantive"
"np","bam_fe","penalty",0.21530612244898,0.933,"substantive"
"pl","bam_fe","penalty",0.21530612244898,0.945,"substantive"
"np","bam_re","penalty",0.21530612244898,0.917,"substantive"
"pl","bam_re","penalty",0.21530612244898,0.921,"substantive"
"np","bam_fd","classic",0.233673469387755,0.973,"substantive"
"pl","bam_fd","classic",0.233673469387755,0.972,"substantive"
"np","bam_fe","classic",0.233673469387755,0.977,"substantive"
"pl","bam_fe","classic",0.233673469387755,0.979,"substantive"
"np","bam_re","classic",0.233673469387755,0.96,"substantive"
"pl","bam_re","classic",0.233673469387755,0.974,"substantive"
"np","bam_fd","penalty",0.233673469387755,0.948,"substantive"
"pl","bam_fd","penalty",0.233673469387755,0.949,"substantive"
"np","bam_fe","penalty",0.233673469387755,0.937,"substantive"
"pl","bam_fe","penalty",0.233673469387755,0.943,"substantive"
"np","bam_re","penalty",0.233673469387755,0.908,"substantive"
"pl","bam_re","penalty",0.233673469387755,0.917,"substantive"
"np","bam_fd","classic",0.252040816326531,0.973,"substantive"
"pl","bam_fd","classic",0.252040816326531,0.972,"substantive"
"np","bam_fe","classic",0.252040816326531,0.978,"substantive"
"pl","bam_fe","classic",0.252040816326531,0.973,"substantive"
"np","bam_re","classic",0.252040816326531,0.962,"substantive"
"pl","bam_re","classic",0.252040816326531,0.967,"substantive"
"np","bam_fd","penalty",0.252040816326531,0.946,"substantive"
"pl","bam_fd","penalty",0.252040816326531,0.947,"substantive"
"np","bam_fe","penalty",0.252040816326531,0.941,"substantive"
"pl","bam_fe","penalty",0.252040816326531,0.943,"substantive"
"np","bam_re","penalty",0.252040816326531,0.914,"substantive"
"pl","bam_re","penalty",0.252040816326531,0.926,"substantive"
"np","bam_fd","classic",0.270408163265306,0.971,"substantive"
"pl","bam_fd","classic",0.270408163265306,0.971,"substantive"
"np","bam_fe","classic",0.270408163265306,0.968,"substantive"
"pl","bam_fe","classic",0.270408163265306,0.965,"substantive"
"np","bam_re","classic",0.270408163265306,0.963,"substantive"
"pl","bam_re","classic",0.270408163265306,0.965,"substantive"
"np","bam_fd","penalty",0.270408163265306,0.955,"substantive"
"pl","bam_fd","penalty",0.270408163265306,0.951,"substantive"
"np","bam_fe","penalty",0.270408163265306,0.936,"substantive"
