"model","method","se_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","error_design","rho","df_correction","K_smooth"
"np","bam_fd","classic",0.99984,0.259666303719904,1,0.433196740151101,3.26978818737867,11.7325465713766,39,0.300834527471196,0,0,0.997,1,1,1,"hetero_ar1",0.5,"substantive",40
"np","bam_fd","penalty",0.94678,0.122084239440862,0.934999999999998,0.188860113871618,3.03209955153503,11.7325465713766,39,0.300834527471196,0,0,0.936,0.954,0.946,0.945,"hetero_ar1",0.5,"substantive",40
"np","bam_fe","classic",0.9999,0.272094252500629,1,0.453935488795044,3.26987684510888,11.0493576181996,39,0.283316862005117,0,0,0.999,1,1,1,"hetero_ar1",0.5,"substantive",40
"np","bam_fe","penalty",0.94476,0.124607533305426,0.933000000000003,0.19165965571007,3.01478884379587,11.0493576181996,39,0.283316862005117,0,0,0.929,0.956,0.937,0.933,"hetero_ar1",0.5,"substantive",40
"np","bam_re","classic",0.99984,0.272198514826855,1,0.454113389116682,3.26990475614787,11.061997653258,39,0.283640965468155,0,0,0.998,1,1,1,"hetero_ar1",0.5,"substantive",40
"np","bam_re","penalty",0.921939999999999,0.122381594347635,0.890000000000007,0.188476679505772,3.01863548534974,11.061997653258,39,0.283640965468155,0,0,0.886,0.928,0.94,0.917,"hetero_ar1",0.5,"substantive",40
"pl","bam_fd","classic",0.99994,0.26186813741046,1,0.436925113000983,3.27019364438349,11.7101537041222,39,0.300260351387748,0,0,0.999,1,1,1,"hetero_ar1",0.5,"substantive",40
"pl","bam_fd","penalty",0.945479999999999,0.123283222832834,0.934000000000002,0.190574309219025,3.02967863645824,11.7101537041222,39,0.300260351387748,0,0,0.931,0.94,0.952,0.931,"hetero_ar1",0.5,"substantive",40
"pl","bam_fe","classic",0.99988,0.272518119407336,1,0.454841984315661,3.27129865788046,11.0374939089373,39,0.283012664331726,0,0,0.998,1,1,0.999,"hetero_ar1",0.5,"substantive",40
"pl","bam_fe","penalty",0.945980000000001,0.125088144921143,0.938000000000003,0.192224778163531,3.01197715051992,11.0374939089373,39,0.283012664331726,0,0,0.934,0.946,0.957,0.944,"hetero_ar1",0.5,"substantive",40
"pl","bam_re","classic",0.99972,0.272633112688076,1,0.455053832114177,3.27144729403383,11.0489157289576,39,0.283305531511732,0,0,0.997,0.999,1,0.999,"hetero_ar1",0.5,"substantive",40
"pl","bam_re","penalty",0.922620000000001,0.122918144063958,0.900999999999997,0.189122486136937,3.01567753342646,11.0489157289576,39,0.283305531511732,0,0,0.872,0.907,0.959,0.911,"hetero_ar1",0.5,"substantive",40
