"model","method","se_type","x","point_coverage","df_correction"
"np","bam_fd","classic",0.05,1,"substantive"
"pl","bam_fd","classic",0.05,0.997,"substantive"
"np","bam_fe","classic",0.05,0.999,"substantive"
"pl","bam_fe","classic",0.05,0.999,"substantive"
"np","bam_re","classic",0.05,0.999,"substantive"
"pl","bam_re","classic",0.05,1,"substantive"
"np","bam_fd","penalty",0.05,0.941,"substantive"
"pl","bam_fd","penalty",0.05,0.94,"substantive"
"np","bam_fe","penalty",0.05,0.933,"substantive"
"pl","bam_fe","penalty",0.05,0.94,"substantive"
"np","bam_re","penalty",0.05,0.92,"substantive"
"pl","bam_re","penalty",0.05,0.917,"substantive"
"np","bam_fd","classic",0.0683673469387755,1,"substantive"
"pl","bam_fd","classic",0.0683673469387755,0.998,"substantive"
"np","bam_fe","classic",0.0683673469387755,0.998,"substantive"
"pl","bam_fe","classic",0.0683673469387755,1,"substantive"
"np","bam_re","classic",0.0683673469387755,0.999,"substantive"
"pl","bam_re","classic",0.0683673469387755,1,"substantive"
"np","bam_fd","penalty",0.0683673469387755,0.934,"substantive"
"pl","bam_fd","penalty",0.0683673469387755,0.939,"substantive"
"np","bam_fe","penalty",0.0683673469387755,0.933,"substantive"
"pl","bam_fe","penalty",0.0683673469387755,0.942,"substantive"
"np","bam_re","penalty",0.0683673469387755,0.912,"substantive"
"pl","bam_re","penalty",0.0683673469387755,0.907,"substantive"
"np","bam_fd","classic",0.086734693877551,0.999,"substantive"
"pl","bam_fd","classic",0.086734693877551,1,"substantive"
"np","bam_fe","classic",0.086734693877551,1,"substantive"
"pl","bam_fe","classic",0.086734693877551,1,"substantive"
"np","bam_re","classic",0.086734693877551,0.998,"substantive"
"pl","bam_re","classic",0.086734693877551,1,"substantive"
"np","bam_fd","penalty",0.086734693877551,0.939,"substantive"
"pl","bam_fd","penalty",0.086734693877551,0.943,"substantive"
"np","bam_fe","penalty",0.086734693877551,0.94,"substantive"
"pl","bam_fe","penalty",0.086734693877551,0.937,"substantive"
"np","bam_re","penalty",0.086734693877551,0.909,"substantive"
"pl","bam_re","penalty",0.086734693877551,0.902,"substantive"
"np","bam_fd","classic",0.105102040816327,1,"substantive"
"pl","bam_fd","classic",0.105102040816327,1,"substantive"
"np","bam_fe","classic",0.105102040816327,1,"substantive"
"pl","bam_fe","classic",0.105102040816327,1,"substantive"
"np","bam_re","classic",0.105102040816327,1,"substantive"
"pl","bam_re","classic",0.105102040816327,0.999,"substantive"
"np","bam_fd","penalty",0.105102040816327,0.949,"substantive"
"pl","bam_fd","penalty",0.105102040816327,0.942,"substantive"
"np","bam_fe","penalty",0.105102040816327,0.94,"substantive"
"pl","bam_fe","penalty",0.105102040816327,0.934,"substantive"
"np","bam_re","penalty",0.105102040816327,0.908,"substantive"
"pl","bam_re","penalty",0.105102040816327,0.908,"substantive"
"np","bam_fd","classic",0.123469387755102,1,"substantive"
"pl","bam_fd","classic",0.123469387755102,1,"substantive"
"np","bam_fe","classic",0.123469387755102,0.999,"substantive"
"pl","bam_fe","classic",0.123469387755102,1,"substantive"
"np","bam_re","classic",0.123469387755102,0.999,"substantive"
"pl","bam_re","classic",0.123469387755102,1,"substantive"
"np","bam_fd","penalty",0.123469387755102,0.949,"substantive"
"pl","bam_fd","penalty",0.123469387755102,0.943,"substantive"
"np","bam_fe","penalty",0.123469387755102,0.947,"substantive"
"pl","bam_fe","penalty",0.123469387755102,0.94,"substantive"
"np","bam_re","penalty",0.123469387755102,0.907,"substantive"
"pl","bam_re","penalty",0.123469387755102,0.923,"substantive"
"np","bam_fd","classic",0.141836734693878,1,"substantive"
"pl","bam_fd","classic",0.141836734693878,1,"substantive"
"np","bam_fe","classic",0.141836734693878,1,"substantive"
"pl","bam_fe","classic",0.141836734693878,1,"substantive"
"np","bam_re","classic",0.141836734693878,1,"substantive"
"pl","bam_re","classic",0.141836734693878,1,"substantive"
"np","bam_fd","penalty",0.141836734693878,0.947,"substantive"
"pl","bam_fd","penalty",0.141836734693878,0.948,"substantive"
"np","bam_fe","penalty",0.141836734693878,0.936,"substantive"
"pl","bam_fe","penalty",0.141836734693878,0.946,"substantive"
"np","bam_re","penalty",0.141836734693878,0.907,"substantive"
"pl","bam_re","penalty",0.141836734693878,0.918,"substantive"
"np","bam_fd","classic",0.160204081632653,1,"substantive"
"pl","bam_fd","classic",0.160204081632653,1,"substantive"
"np","bam_fe","classic",0.160204081632653,1,"substantive"
"pl","bam_fe","classic",0.160204081632653,1,"substantive"
"np","bam_re","classic",0.160204081632653,1,"substantive"
"pl","bam_re","classic",0.160204081632653,1,"substantive"
"np","bam_fd","penalty",0.160204081632653,0.946,"substantive"
"pl","bam_fd","penalty",0.160204081632653,0.955,"substantive"
"np","bam_fe","penalty",0.160204081632653,0.939,"substantive"
"pl","bam_fe","penalty",0.160204081632653,0.947,"substantive"
"np","bam_re","penalty",0.160204081632653,0.913,"substantive"
"pl","bam_re","penalty",0.160204081632653,0.913,"substantive"
"np","bam_fd","classic",0.178571428571429,1,"substantive"
"pl","bam_fd","classic",0.178571428571429,1,"substantive"
"np","bam_fe","classic",0.178571428571429,1,"substantive"
"pl","bam_fe","classic",0.178571428571429,1,"substantive"
"np","bam_re","classic",0.178571428571429,1,"substantive"
"pl","bam_re","classic",0.178571428571429,1,"substantive"
"np","bam_fd","penalty",0.178571428571429,0.953,"substantive"
"pl","bam_fd","penalty",0.178571428571429,0.953,"substantive"
"np","bam_fe","penalty",0.178571428571429,0.938,"substantive"
"pl","bam_fe","penalty",0.178571428571429,0.942,"substantive"
"np","bam_re","penalty",0.178571428571429,0.915,"substantive"
"pl","bam_re","penalty",0.178571428571429,0.91,"substantive"
"np","bam_fd","classic",0.196938775510204,1,"substantive"
"pl","bam_fd","classic",0.196938775510204,1,"substantive"
"np","bam_fe","classic",0.196938775510204,1,"substantive"
"pl","bam_fe","classic",0.196938775510204,1,"substantive"
"np","bam_re","classic",0.196938775510204,1,"substantive"
"pl","bam_re","classic",0.196938775510204,1,"substantive"
"np","bam_fd","penalty",0.196938775510204,0.947,"substantive"
"pl","bam_fd","penalty",0.196938775510204,0.949,"substantive"
"np","bam_fe","penalty",0.196938775510204,0.932,"substantive"
"pl","bam_fe","penalty",0.196938775510204,0.947,"substantive"
"np","bam_re","penalty",0.196938775510204,0.918,"substantive"
"pl","bam_re","penalty",0.196938775510204,0.918,"substantive"
"np","bam_fd","classic",0.21530612244898,1,"substantive"
"pl","bam_fd","classic",0.21530612244898,1,"substantive"
"np","bam_fe","classic",0.21530612244898,1,"substantive"
"pl","bam_fe","classic",0.21530612244898,1,"substantive"
"np","bam_re","classic",0.21530612244898,1,"substantive"
"pl","bam_re","classic",0.21530612244898,1,"substantive"
"np","bam_fd","penalty",0.21530612244898,0.952,"substantive"
"pl","bam_fd","penalty",0.21530612244898,0.945,"substantive"
"np","bam_fe","penalty",0.21530612244898,0.935,"substantive"
"pl","bam_fe","penalty",0.21530612244898,0.946,"substantive"
"np","bam_re","penalty",0.21530612244898,0.917,"substantive"
"pl","bam_re","penalty",0.21530612244898,0.916,"substantive"
"np","bam_fd","classic",0.233673469387755,1,"substantive"
"pl","bam_fd","classic",0.233673469387755,1,"substantive"
"np","bam_fe","classic",0.233673469387755,1,"substantive"
"pl","bam_fe","classic",0.233673469387755,1,"substantive"
"np","bam_re","classic",0.233673469387755,1,"substantive"
"pl","bam_re","classic",0.233673469387755,1,"substantive"
"np","bam_fd","penalty",0.233673469387755,0.948,"substantive"
"pl","bam_fd","penalty",0.233673469387755,0.946,"substantive"
"np","bam_fe","penalty",0.233673469387755,0.934,"substantive"
"pl","bam_fe","penalty",0.233673469387755,0.943,"substantive"
"np","bam_re","penalty",0.233673469387755,0.918,"substantive"
"pl","bam_re","penalty",0.233673469387755,0.917,"substantive"
