"model","method","se_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","error_design","rho","df_correction","K_smooth"
"np","bam_fd","classic",0.99986,0.420924484700597,1,0.70142305903939,3.26598907053871,9.83694646060571,40,0.245923661515143,0,0,0.999,1,1,1,"hetero_ar1",0.5,"substantive",40
"np","bam_fd","penalty",0.938560000000001,0.176999464945038,0.915000000000009,0.268566524461738,2.9741572586553,9.83694646060571,40,0.245923661515143,0,0,0.922,0.943,0.933,0.944,"hetero_ar1",0.5,"substantive",40
"np","bam_fe","classic",0.99992,0.438619653629033,1,0.730908360797361,3.26611421567587,9.25632965319475,39,0.237341785979352,0,0,0.999,1,1,1,"hetero_ar1",0.5,"substantive",40
"np","bam_fe","penalty",0.941499999999999,0.181118003295466,0.922999999999998,0.27302053795691,2.95466037022415,9.25632965319475,39,0.237341785979352,0,0,0.915,0.949,0.933,0.941,"hetero_ar1",0.5,"substantive",40
"np","bam_re","classic",0.99978,0.438858672595523,1,0.731488380247551,3.26684109577447,9.26742399655873,39,0.237626256322019,0,0,0.999,1,1,1,"hetero_ar1",0.5,"substantive",40
"np","bam_re","penalty",0.924459999999999,0.177462257387995,0.887,0.267706922163405,2.95681465924573,9.26742399655873,39,0.237626256322019,0,0,0.894,0.921,0.93,0.926,"hetero_ar1",0.5,"substantive",40
"pl","bam_fd","classic",0.99986,0.425073807450033,1,0.707947251822829,3.264301048366,9.79518192064182,40,0.244879548016045,0,0,0.999,1,1,1,"hetero_ar1",0.5,"substantive",40
"pl","bam_fd","penalty",0.94296,0.178602280508679,0.909999999999994,0.270656113044465,2.97052414897693,9.79518192064182,40,0.244879548016045,0,0,0.926,0.943,0.951,0.941,"hetero_ar1",0.5,"substantive",40
"pl","bam_fe","classic",0.99974,0.439925886814252,1,0.733405679207054,3.26744957497206,9.22108694887455,39,0.236438126894219,0,0,0.997,0.999,1,0.999,"hetero_ar1",0.5,"substantive",40
"pl","bam_fe","penalty",0.9423,0.181430389379295,0.930999999999998,0.273126427948886,2.95089731835467,9.22108694887455,39,0.236438126894219,0,0,0.912,0.942,0.964,0.939,"hetero_ar1",0.5,"substantive",40
"pl","bam_re","classic",0.99982,0.440179695890844,1,0.733230898850336,3.26476444749651,9.23112947131462,39,0.236695627469606,0,0,0.997,1,1,0.999,"hetero_ar1",0.5,"substantive",40
"pl","bam_re","penalty",0.923819999999997,0.177884558791844,0.888000000000005,0.268442284809229,2.95789847757431,9.23112947131462,39,0.236695627469606,0,0,0.877,0.913,0.961,0.924,"hetero_ar1",0.5,"substantive",40
