"model","method","se_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","error_design","rho","df_correction","K_smooth"
"np","bam_fd","classic",0.960699999999999,0.1226614128412,0.970000000000001,0.186194131036355,2.97526437509322,8.35149201214657,9,0.927943556905174,1,0,0.942,0.962,0.942,0.966,"hetero_ar1",0.5,"substantive",10
"np","bam_fd","penalty",0.947120000000001,0.114602066735553,0.940000000000002,0.172680897782772,2.95345134351882,8.35149201214657,9,0.927943556905174,1,0,0.926,0.95,0.926,0.945,"hetero_ar1",0.5,"substantive",10
"np","bam_fe","classic",0.963100000000001,0.128872765062638,0.969000000000003,0.195554805743019,2.97427792854511,8.21816777732502,9,0.913129753036113,0.988999999999999,0,0.947,0.971,0.951,0.957,"hetero_ar1",0.5,"substantive",10
"np","bam_fe","penalty",0.94572,0.118814500633219,0.940000000000002,0.178768492710274,2.94919292487978,8.21816777732502,9,0.913129753036113,0.988999999999999,0,0.931,0.955,0.931,0.944,"hetero_ar1",0.5,"substantive",10
"np","bam_re","classic",0.9476,0.128972372217571,0.950000000000005,0.195705056322948,2.9742690203242,8.21982178318067,9,0.913313531464519,0.988,0,0.914,0.959,0.954,0.95,"hetero_ar1",0.5,"substantive",10
"np","bam_re","penalty",0.919599999999999,0.116548743432593,0.882999999999998,0.175557985237671,2.95254510223274,8.21982178318067,9,0.913313531464519,0.988,0,0.876,0.918,0.935,0.917,"hetero_ar1",0.5,"substantive",10
"pl","bam_fd","classic",0.96238,0.124033176499332,0.964000000000001,0.188181720345554,2.97370999499066,8.34121955865938,9,0.926802173184375,1,0,0.945,0.949,0.972,0.957,"hetero_ar1",0.5,"substantive",10
"pl","bam_fd","penalty",0.94814,0.11578670555918,0.938000000000004,0.174381310007645,2.95192801999799,8.34121955865938,9,0.926802173184375,1,0,0.934,0.934,0.954,0.942,"hetero_ar1",0.5,"substantive",10
"pl","bam_fe","classic",0.9647,0.129486646903134,0.972000000000001,0.196456680456513,2.97376629081953,8.2102278825057,9,0.912247542500633,0.985,0,0.942,0.957,0.971,0.971,"hetero_ar1",0.5,"substantive",10
"pl","bam_fe","penalty",0.947919999999999,0.119306670136945,0.946000000000001,0.179336457763524,2.94624546579177,8.2102278825057,9,0.912247542500633,0.985,0,0.934,0.943,0.951,0.942,"hetero_ar1",0.5,"substantive",10
"pl","bam_re","classic",0.94788,0.129576947564539,0.941,0.19658818512884,2.97368168716739,8.21302684335065,9,0.912558538150072,0.985999999999998,0,0.892,0.946,0.972,0.953,"hetero_ar1",0.5,"substantive",10
"pl","bam_re","penalty",0.92268,0.117089738273784,0.896000000000005,0.17622946449076,2.95000478132061,8.21302684335065,9,0.912558538150072,0.985999999999998,0,0.874,0.911,0.953,0.912,"hetero_ar1",0.5,"substantive",10
