"model","method","se_type","x","point_coverage","df_correction"
"np","bam_fd","classic",0.05,0.997,"substantive"
"pl","bam_fd","classic",0.05,0.996,"substantive"
"np","bam_fe","classic",0.05,1,"substantive"
"pl","bam_fe","classic",0.05,0.995,"substantive"
"np","bam_re","classic",0.05,0.998,"substantive"
"pl","bam_re","classic",0.05,0.995,"substantive"
"np","bam_fd","penalty",0.05,0.937,"substantive"
"pl","bam_fd","penalty",0.05,0.942,"substantive"
"np","bam_fe","penalty",0.05,0.946,"substantive"
"pl","bam_fe","penalty",0.05,0.933,"substantive"
"np","bam_re","penalty",0.05,0.909,"substantive"
"pl","bam_re","penalty",0.05,0.898,"substantive"
"np","bam_fd","classic",0.0683673469387755,0.993,"substantive"
"pl","bam_fd","classic",0.0683673469387755,0.995,"substantive"
"np","bam_fe","classic",0.0683673469387755,0.999,"substantive"
"pl","bam_fe","classic",0.0683673469387755,0.992,"substantive"
"np","bam_re","classic",0.0683673469387755,0.996,"substantive"
"pl","bam_re","classic",0.0683673469387755,0.986,"substantive"
"np","bam_fd","penalty",0.0683673469387755,0.939,"substantive"
"pl","bam_fd","penalty",0.0683673469387755,0.936,"substantive"
"np","bam_fe","penalty",0.0683673469387755,0.931,"substantive"
"pl","bam_fe","penalty",0.0683673469387755,0.921,"substantive"
"np","bam_re","penalty",0.0683673469387755,0.897,"substantive"
"pl","bam_re","penalty",0.0683673469387755,0.889,"substantive"
"np","bam_fd","classic",0.086734693877551,0.984,"substantive"
"pl","bam_fd","classic",0.086734693877551,0.982,"substantive"
"np","bam_fe","classic",0.086734693877551,0.991,"substantive"
"pl","bam_fe","classic",0.086734693877551,0.985,"substantive"
"np","bam_re","classic",0.086734693877551,0.983,"substantive"
"pl","bam_re","classic",0.086734693877551,0.98,"substantive"
"np","bam_fd","penalty",0.086734693877551,0.934,"substantive"
"pl","bam_fd","penalty",0.086734693877551,0.93,"substantive"
"np","bam_fe","penalty",0.086734693877551,0.933,"substantive"
"pl","bam_fe","penalty",0.086734693877551,0.916,"substantive"
"np","bam_re","penalty",0.086734693877551,0.901,"substantive"
"pl","bam_re","penalty",0.086734693877551,0.884,"substantive"
"np","bam_fd","classic",0.105102040816327,0.992,"substantive"
"pl","bam_fd","classic",0.105102040816327,0.99,"substantive"
"np","bam_fe","classic",0.105102040816327,0.996,"substantive"
"pl","bam_fe","classic",0.105102040816327,0.993,"substantive"
"np","bam_re","classic",0.105102040816327,0.992,"substantive"
"pl","bam_re","classic",0.105102040816327,0.989,"substantive"
"np","bam_fd","penalty",0.105102040816327,0.933,"substantive"
"pl","bam_fd","penalty",0.105102040816327,0.927,"substantive"
"np","bam_fe","penalty",0.105102040816327,0.935,"substantive"
"pl","bam_fe","penalty",0.105102040816327,0.911,"substantive"
"np","bam_re","penalty",0.105102040816327,0.899,"substantive"
"pl","bam_re","penalty",0.105102040816327,0.877,"substantive"
"np","bam_fd","classic",0.123469387755102,0.995,"substantive"
"pl","bam_fd","classic",0.123469387755102,0.988,"substantive"
"np","bam_fe","classic",0.123469387755102,0.995,"substantive"
"pl","bam_fe","classic",0.123469387755102,0.994,"substantive"
"np","bam_re","classic",0.123469387755102,0.994,"substantive"
"pl","bam_re","classic",0.123469387755102,0.995,"substantive"
"np","bam_fd","penalty",0.123469387755102,0.929,"substantive"
"pl","bam_fd","penalty",0.123469387755102,0.928,"substantive"
"np","bam_fe","penalty",0.123469387755102,0.945,"substantive"
"pl","bam_fe","penalty",0.123469387755102,0.915,"substantive"
"np","bam_re","penalty",0.123469387755102,0.902,"substantive"
"pl","bam_re","penalty",0.123469387755102,0.88,"substantive"
"np","bam_fd","classic",0.141836734693878,0.994,"substantive"
"pl","bam_fd","classic",0.141836734693878,0.99,"substantive"
"np","bam_fe","classic",0.141836734693878,0.993,"substantive"
"pl","bam_fe","classic",0.141836734693878,0.995,"substantive"
"np","bam_re","classic",0.141836734693878,0.99,"substantive"
"pl","bam_re","classic",0.141836734693878,0.994,"substantive"
"np","bam_fd","penalty",0.141836734693878,0.929,"substantive"
"pl","bam_fd","penalty",0.141836734693878,0.937,"substantive"
"np","bam_fe","penalty",0.141836734693878,0.942,"substantive"
"pl","bam_fe","penalty",0.141836734693878,0.933,"substantive"
"np","bam_re","penalty",0.141836734693878,0.917,"substantive"
"pl","bam_re","penalty",0.141836734693878,0.888,"substantive"
"np","bam_fd","classic",0.160204081632653,0.996,"substantive"
"pl","bam_fd","classic",0.160204081632653,0.994,"substantive"
"np","bam_fe","classic",0.160204081632653,0.997,"substantive"
"pl","bam_fe","classic",0.160204081632653,0.997,"substantive"
"np","bam_re","classic",0.160204081632653,0.996,"substantive"
"pl","bam_re","classic",0.160204081632653,0.989,"substantive"
"np","bam_fd","penalty",0.160204081632653,0.939,"substantive"
"pl","bam_fd","penalty",0.160204081632653,0.942,"substantive"
"np","bam_fe","penalty",0.160204081632653,0.947,"substantive"
"pl","bam_fe","penalty",0.160204081632653,0.936,"substantive"
"np","bam_re","penalty",0.160204081632653,0.919,"substantive"
"pl","bam_re","penalty",0.160204081632653,0.899,"substantive"
"np","bam_fd","classic",0.178571428571429,0.996,"substantive"
"pl","bam_fd","classic",0.178571428571429,0.998,"substantive"
"np","bam_fe","classic",0.178571428571429,0.997,"substantive"
"pl","bam_fe","classic",0.178571428571429,0.996,"substantive"
"np","bam_re","classic",0.178571428571429,0.996,"substantive"
"pl","bam_re","classic",0.178571428571429,0.994,"substantive"
"np","bam_fd","penalty",0.178571428571429,0.931,"substantive"
"pl","bam_fd","penalty",0.178571428571429,0.948,"substantive"
"np","bam_fe","penalty",0.178571428571429,0.947,"substantive"
"pl","bam_fe","penalty",0.178571428571429,0.944,"substantive"
"np","bam_re","penalty",0.178571428571429,0.92,"substantive"
"pl","bam_re","penalty",0.178571428571429,0.905,"substantive"
"np","bam_fd","classic",0.196938775510204,0.995,"substantive"
"pl","bam_fd","classic",0.196938775510204,0.998,"substantive"
"np","bam_fe","classic",0.196938775510204,0.997,"substantive"
"pl","bam_fe","classic",0.196938775510204,0.997,"substantive"
"np","bam_re","classic",0.196938775510204,0.996,"substantive"
"pl","bam_re","classic",0.196938775510204,0.992,"substantive"
"np","bam_fd","penalty",0.196938775510204,0.937,"substantive"
"pl","bam_fd","penalty",0.196938775510204,0.948,"substantive"
"np","bam_fe","penalty",0.196938775510204,0.946,"substantive"
"pl","bam_fe","penalty",0.196938775510204,0.947,"substantive"
"np","bam_re","penalty",0.196938775510204,0.926,"substantive"
"pl","bam_re","penalty",0.196938775510204,0.907,"substantive"
"np","bam_fd","classic",0.21530612244898,0.997,"substantive"
"pl","bam_fd","classic",0.21530612244898,0.997,"substantive"
"np","bam_fe","classic",0.21530612244898,0.997,"substantive"
"pl","bam_fe","classic",0.21530612244898,0.995,"substantive"
"np","bam_re","classic",0.21530612244898,0.996,"substantive"
"pl","bam_re","classic",0.21530612244898,0.99,"substantive"
"np","bam_fd","penalty",0.21530612244898,0.939,"substantive"
"pl","bam_fd","penalty",0.21530612244898,0.949,"substantive"
"np","bam_fe","penalty",0.21530612244898,0.957,"substantive"
"pl","bam_fe","penalty",0.21530612244898,0.947,"substantive"
"np","bam_re","penalty",0.21530612244898,0.925,"substantive"
"pl","bam_re","penalty",0.21530612244898,0.905,"substantive"
"np","bam_fd","classic",0.233673469387755,0.998,"substantive"
"pl","bam_fd","classic",0.233673469387755,0.995,"substantive"
"np","bam_fe","classic",0.233673469387755,1,"substantive"
"pl","bam_fe","classic",0.233673469387755,0.992,"substantive"
"np","bam_re","classic",0.233673469387755,0.996,"substantive"
"pl","bam_re","classic",0.233673469387755,0.994,"substantive"
"np","bam_fd","penalty",0.233673469387755,0.941,"substantive"
"pl","bam_fd","penalty",0.233673469387755,0.944,"substantive"
"np","bam_fe","penalty",0.233673469387755,0.952,"substantive"
"pl","bam_fe","penalty",0.233673469387755,0.943,"substantive"
"np","bam_re","penalty",0.233673469387755,0.925,"substantive"
"pl","bam_re","penalty",0.233673469387755,0.912,"substantive"
"np","bam_fd","classic",0.252040816326531,0.997,"substantive"
"pl","bam_fd","classic",0.252040816326531,0.999,"substantive"
"np","bam_fe","classic",0.252040816326531,0.997,"substantive"
"pl","bam_fe","classic",0.252040816326531,0.995,"substantive"
"np","bam_re","classic",0.252040816326531,0.992,"substantive"
"pl","bam_re","classic",0.252040816326531,0.994,"substantive"
"np","bam_fd","penalty",0.252040816326531,0.945,"substantive"
"pl","bam_fd","penalty",0.252040816326531,0.941,"substantive"
"np","bam_fe","penalty",0.252040816326531,0.949,"substantive"
"pl","bam_fe","penalty",0.252040816326531,0.939,"substantive"
"np","bam_re","penalty",0.252040816326531,0.922,"substantive"
"pl","bam_re","penalty",0.252040816326531,0.915,"substantive"
"np","bam_fd","classic",0.270408163265306,0.997,"substantive"
"pl","bam_fd","classic",0.270408163265306,0.999,"substantive"
"np","bam_fe","classic",0.270408163265306,0.998,"substantive"
"pl","bam_fe","classic",0.270408163265306,0.997,"substantive"
"np","bam_re","classic",0.270408163265306,0.996,"substantive"
"pl","bam_re","classic",0.270408163265306,0.994,"substantive"
"np","bam_fd","penalty",0.270408163265306,0.948,"substantive"
"pl","bam_fd","penalty",0.270408163265306,0.949,"substantive"
"np","bam_fe","penalty",0.270408163265306,0.951,"substantive"
"pl","bam_fe","penalty",0.270408163265306,0.947,"substantive"
"np","bam_re","penalty",0.270408163265306,0.933,"substantive"
"pl","bam_re","penalty",0.270408163265306,0.921,"substantive"
"np","bam_fd","classic",0.288775510204082,0.997,"substantive"
"pl","bam_fd","classic",0.288775510204082,0.998,"substantive"
"np","bam_fe","classic",0.288775510204082,0.997,"substantive"
"pl","bam_fe","classic",0.288775510204082,0.997,"substantive"
"np","bam_re","classic",0.288775510204082,0.997,"substantive"
"pl","bam_re","classic",0.288775510204082,0.997,"substantive"
"np","bam_fd","penalty",0.288775510204082,0.959,"substantive"
"pl","bam_fd","penalty",0.288775510204082,0.952,"substantive"
"np","bam_fe","penalty",0.288775510204082,0.96,"substantive"
"pl","bam_fe","penalty",0.288775510204082,0.947,"substantive"
"np","bam_re","penalty",0.288775510204082,0.935,"substantive"
"pl","bam_re","penalty",0.288775510204082,0.922,"substantive"
"np","bam_fd","classic",0.307142857142857,0.999,"substantive"
"pl","bam_fd","classic",0.307142857142857,0.999,"substantive"
"np","bam_fe","classic",0.307142857142857,0.999,"substantive"
"pl","bam_fe","classic",0.307142857142857,0.996,"substantive"
"np","bam_re","classic",0.307142857142857,0.998,"substantive"
"pl","bam_re","classic",0.307142857142857,0.995,"substantive"
"np","bam_fd","penalty",0.307142857142857,0.956,"substantive"
"pl","bam_fd","penalty",0.307142857142857,0.947,"substantive"
"np","bam_fe","penalty",0.307142857142857,0.959,"substantive"
"pl","bam_fe","penalty",0.307142857142857,0.938,"substantive"
"np","bam_re","penalty",0.307142857142857,0.944,"substantive"
"pl","bam_re","penalty",0.307142857142857,0.921,"substantive"
"np","bam_fd","classic",0.325510204081633,0.999,"substantive"
"pl","bam_fd","classic",0.325510204081633,1,"substantive"
"np","bam_fe","classic",0.325510204081633,0.998,"substantive"
"pl","bam_fe","classic",0.325510204081633,0.996,"substantive"
"np","bam_re","classic",0.325510204081633,0.998,"substantive"
"pl","bam_re","classic",0.325510204081633,0.997,"substantive"
"np","bam_fd","penalty",0.325510204081633,0.957,"substantive"
"pl","bam_fd","penalty",0.325510204081633,0.947,"substantive"
"np","bam_fe","penalty",0.325510204081633,0.955,"substantive"
"pl","bam_fe","penalty",0.325510204081633,0.936,"substantive"
"np","bam_re","penalty",0.325510204081633,0.94,"substantive"
"pl","bam_re","penalty",0.325510204081633,0.921,"substantive"
"np","bam_fd","classic",0.343877551020408,0.998,"substantive"
"pl","bam_fd","classic",0.343877551020408,0.996,"substantive"
"np","bam_fe","classic",0.343877551020408,1,"substantive"
"pl","bam_fe","classic",0.343877551020408,0.997,"substantive"
"np","bam_re","classic",0.343877551020408,0.998,"substantive"
"pl","bam_re","classic",0.343877551020408,0.997,"substantive"
"np","bam_fd","penalty",0.343877551020408,0.953,"substantive"
"pl","bam_fd","penalty",0.343877551020408,0.94,"substantive"
"np","bam_fe","penalty",0.343877551020408,0.952,"substantive"
"pl","bam_fe","penalty",0.343877551020408,0.933,"substantive"
"np","bam_re","penalty",0.343877551020408,0.937,"substantive"
"pl","bam_re","penalty",0.343877551020408,0.926,"substantive"
"np","bam_fd","classic",0.362244897959184,0.997,"substantive"
"pl","bam_fd","classic",0.362244897959184,0.996,"substantive"
"np","bam_fe","classic",0.362244897959184,0.998,"substantive"
"pl","bam_fe","classic",0.362244897959184,0.999,"substantive"
"np","bam_re","classic",0.362244897959184,0.997,"substantive"
"pl","bam_re","classic",0.362244897959184,0.998,"substantive"
"np","bam_fd","penalty",0.362244897959184,0.957,"substantive"
"pl","bam_fd","penalty",0.362244897959184,0.937,"substantive"
"np","bam_fe","penalty",0.362244897959184,0.957,"substantive"
"pl","bam_fe","penalty",0.362244897959184,0.941,"substantive"
"np","bam_re","penalty",0.362244897959184,0.942,"substantive"
"pl","bam_re","penalty",0.362244897959184,0.938,"substantive"
"np","bam_fd","classic",0.380612244897959,0.995,"substantive"
"pl","bam_fd","classic",0.380612244897959,0.998,"substantive"
"np","bam_fe","classic",0.380612244897959,0.999,"substantive"
"pl","bam_fe","classic",0.380612244897959,0.999,"substantive"
"np","bam_re","classic",0.380612244897959,0.999,"substantive"
"pl","bam_re","classic",0.380612244897959,0.998,"substantive"
"np","bam_fd","penalty",0.380612244897959,0.956,"substantive"
"pl","bam_fd","penalty",0.380612244897959,0.93,"substantive"
"np","bam_fe","penalty",0.380612244897959,0.953,"substantive"
"pl","bam_fe","penalty",0.380612244897959,0.95,"substantive"
"np","bam_re","penalty",0.380612244897959,0.939,"substantive"
"pl","bam_re","penalty",0.380612244897959,0.944,"substantive"
"np","bam_fd","classic",0.398979591836735,0.998,"substantive"
"pl","bam_fd","classic",0.398979591836735,0.995,"substantive"
"np","bam_fe","classic",0.398979591836735,1,"substantive"
"pl","bam_fe","classic",0.398979591836735,0.999,"substantive"
"np","bam_re","classic",0.398979591836735,1,"substantive"
"pl","bam_re","classic",0.398979591836735,0.999,"substantive"
"np","bam_fd","penalty",0.398979591836735,0.951,"substantive"
"pl","bam_fd","penalty",0.398979591836735,0.933,"substantive"
"np","bam_fe","penalty",0.398979591836735,0.946,"substantive"
"pl","bam_fe","penalty",0.398979591836735,0.945,"substantive"
"np","bam_re","penalty",0.398979591836735,0.932,"substantive"
"pl","bam_re","penalty",0.398979591836735,0.938,"substantive"
"np","bam_fd","classic",0.41734693877551,0.997,"substantive"
"pl","bam_fd","classic",0.41734693877551,0.995,"substantive"
"np","bam_fe","classic",0.41734693877551,0.999,"substantive"
"pl","bam_fe","classic",0.41734693877551,0.999,"substantive"
"np","bam_re","classic",0.41734693877551,0.998,"substantive"
"pl","bam_re","classic",0.41734693877551,0.999,"substantive"
"np","bam_fd","penalty",0.41734693877551,0.946,"substantive"
"pl","bam_fd","penalty",0.41734693877551,0.939,"substantive"
"np","bam_fe","penalty",0.41734693877551,0.946,"substantive"
"pl","bam_fe","penalty",0.41734693877551,0.943,"substantive"
"np","bam_re","penalty",0.41734693877551,0.941,"substantive"
"pl","bam_re","penalty",0.41734693877551,0.94,"substantive"
"np","bam_fd","classic",0.435714285714286,0.998,"substantive"
"pl","bam_fd","classic",0.435714285714286,1,"substantive"
"np","bam_fe","classic",0.435714285714286,0.998,"substantive"
"pl","bam_fe","classic",0.435714285714286,0.999,"substantive"
"np","bam_re","classic",0.435714285714286,0.998,"substantive"
"pl","bam_re","classic",0.435714285714286,0.999,"substantive"
"np","bam_fd","penalty",0.435714285714286,0.942,"substantive"
"pl","bam_fd","penalty",0.435714285714286,0.947,"substantive"
"np","bam_fe","penalty",0.435714285714286,0.943,"substantive"
"pl","bam_fe","penalty",0.435714285714286,0.942,"substantive"
"np","bam_re","penalty",0.435714285714286,0.943,"substantive"
"pl","bam_re","penalty",0.435714285714286,0.942,"substantive"
"np","bam_fd","classic",0.454081632653061,0.996,"substantive"
"pl","bam_fd","classic",0.454081632653061,1,"substantive"
"np","bam_fe","classic",0.454081632653061,0.995,"substantive"
"pl","bam_fe","classic",0.454081632653061,0.998,"substantive"
"np","bam_re","classic",0.454081632653061,0.994,"substantive"
"pl","bam_re","classic",0.454081632653061,0.999,"substantive"
"np","bam_fd","penalty",0.454081632653061,0.934,"substantive"
