"method","n_success","rejection_classic_cluster","rejection_penalty_cluster","rejection_wild_boot","mean_beta_hat","sd_beta_hat","mean_se_classic_cluster","mean_se_penalty_cluster","mean_p_boot","min_boot_success","mean_boot_success","K_smooth","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","error_design","rho","df_correction"
"bam_fd",1000,0.831,0.833,NA,1.07443468421486,0.0258620072631308,0.0250692869862045,0.0250483307683345,NA,NA,NA,10,8.30998489152134,10,0.830998489152134,0,0,"hetero_ar1",0.5,"substantive"
"bam_fe",1000,0.758,0.759,NA,1.07419187808438,0.0286312883951042,0.0278413859327293,0.0278160130499709,NA,NA,NA,10,8.06068162956018,9,0.895631292173353,0.285,0,"hetero_ar1",0.5,"substantive"
"bam_re",1000,0.773,0.779,NA,1.07625165737486,0.0286212863936203,0.0278445737446388,0.0277264558558082,NA,NA,NA,10,8.06144067843937,9,0.895715630937708,0.284,0,"hetero_ar1",0.5,"substantive"
