"model","method","se_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","error_design","rho","df_correction","K_smooth"
"np","bam_fd","classic",0.99414,0.180145811289276,1,0.2926584790596,3.18415787204718,11.2057206300611,20,0.560286031503055,0,0,0.989,0.996,0.997,0.992,"hetero_ar1",0.5,"substantive",20
"np","bam_fd","penalty",0.9465,0.122094323129168,0.934000000000001,0.188441222867676,3.02499736742496,11.2057206300611,20,0.560286031503055,0,0,0.932,0.958,0.95,0.945,"hetero_ar1",0.5,"substantive",20
"np","bam_fe","classic",0.99484,0.189335387083305,0.999,0.307456853209583,3.18277261932702,10.6426216139066,19,0.560137979679296,0,0,0.989,0.996,0.993,0.995,"hetero_ar1",0.5,"substantive",20
"np","bam_fe","penalty",0.94564,0.124826040513534,0.929999999999996,0.1916449796081,3.00917069322904,10.6426216139066,19,0.560137979679296,0,0,0.929,0.947,0.957,0.948,"hetero_ar1",0.5,"substantive",20
"np","bam_re","classic",0.99114,0.189428159347971,0.998,0.307309581293342,3.17962961268691,10.6526030897623,19,0.560663320513806,0,0,0.966,0.99,0.994,0.993,"hetero_ar1",0.5,"substantive",20
"np","bam_re","penalty",0.920440000000001,0.12259099122381,0.871000000000002,0.188274620445344,3.01019822158064,10.6526030897623,19,0.560663320513806,0,0,0.88,0.914,0.957,0.917,"hetero_ar1",0.5,"substantive",20
"pl","bam_fd","classic",0.99354,0.182344419030039,1,0.295814219513885,3.17965040808669,11.1725239707837,20,0.558626198539184,0,0,0.986,0.995,0.992,0.994,"hetero_ar1",0.5,"substantive",20
"pl","bam_fd","penalty",0.943960000000001,0.123507489145739,0.923999999999997,0.190479869195407,3.02273175474254,11.1725239707837,20,0.558626198539184,0,0,0.934,0.944,0.95,0.949,"hetero_ar1",0.5,"substantive",20
"pl","bam_fe","classic",0.9957,0.189796837187293,0.998,0.308187460935609,3.18252640175525,10.6288776925252,19,0.559414615396062,0,0,0.991,0.992,0.994,0.996,"hetero_ar1",0.5,"substantive",20
"pl","bam_fe","penalty",0.94724,0.125180510956026,0.944,0.191908217846698,3.00462949111715,10.6288776925252,19,0.559414615396062,0,0,0.937,0.944,0.949,0.937,"hetero_ar1",0.5,"substantive",20
"pl","bam_re","classic",0.99246,0.189894463207555,0.997,0.308132402228169,3.18038557323776,10.640434499174,19,0.560022868377577,0,0,0.973,0.989,0.995,0.994,"hetero_ar1",0.5,"substantive",20
"pl","bam_re","penalty",0.92104,0.123019371240086,0.888999999999998,0.188809772021548,3.0080547431473,10.640434499174,19,0.560022868377577,0,0,0.883,0.9,0.948,0.914,"hetero_ar1",0.5,"substantive",20
