"sim","method","beta_hat","se_classic_cluster","t_classic_cluster","reject_classic_cluster","se_penalty_cluster","t_penalty_cluster","reject_penalty_cluster","p_boot","reject_wild_boot","boot_success","K_smooth","smooth_edf","edf_ceiling","edf_ratio","binding_90","binding_95","error_design","rho","df_correction"
1,"bam_fe",0.962835495646352,0.0413068964483117,-0.899716695011271,0,0.0399776454228702,-0.929632147179607,0,NA,NA,NA,40,9.14196009835239,39,0.234409233291087,0,0,"hetero_ar1",0.5,"substantive"
1,"bam_re",0.968867064144783,0.0412853424757437,-0.754091742693138,0,0.0395812399583434,-0.786557871556877,0,NA,NA,NA,40,9.10493234115743,39,0.233459803619421,0,0,"hetero_ar1",0.5,"substantive"
1,"bam_fd",0.990176254084399,0.0393686227380929,-0.24953237457544,0,0.0368978296805359,-0.266241835919773,0,NA,NA,NA,40,9.85353833424351,40,0.246338458356088,0,0,"hetero_ar1",0.5,"substantive"
2,"bam_fe",0.949534467993357,0.0362284872013238,-1.3929792797089,0,0.0356212680337724,-1.41672474878763,0,NA,NA,NA,40,8.87517244578541,39,0.227568524250908,0,0,"hetero_ar1",0.5,"substantive"
2,"bam_re",0.951683715525787,0.036416775982227,-1.32675897772483,0,0.035569090150338,-1.3583784198583,0,NA,NA,NA,40,8.88489259637703,39,0.227817758881462,0,0,"hetero_ar1",0.5,"substantive"
2,"bam_fd",0.940975235576319,0.0390036697721524,-1.51331310024123,0,0.0374275053547337,-1.57704244149459,0,NA,NA,NA,40,9.31988167822729,40,0.232997041955682,0,0,"hetero_ar1",0.5,"substantive"
3,"bam_fe",1.00496132720151,0.0455663165560443,0.108881462810596,0,0.0429576214776493,0.115493526663112,0,NA,NA,NA,40,8.9595592455327,39,0.229732288346992,0,0,"hetero_ar1",0.5,"substantive"
3,"bam_re",1.00304429727986,0.0454398340352156,0.0669962235667478,0,0.0422931620929281,0.0719808387268414,0,NA,NA,NA,40,8.95632564450305,39,0.229649375500078,0,0,"hetero_ar1",0.5,"substantive"
3,"bam_fd",1.00969306769743,0.0442143524074505,0.219228987187453,0,0.0427077172889249,0.226962907707272,0,NA,NA,NA,40,9.50837267954919,40,0.23770931698873,0,0,"hetero_ar1",0.5,"substantive"
4,"bam_fe",0.962210041244732,0.0392762483904064,-0.962158054904713,0,0.038727497756355,-0.97579138711761,0,NA,NA,NA,40,9.59600909731576,39,0.246051515315789,0,0,"hetero_ar1",0.5,"substantive"
4,"bam_re",0.967879238741471,0.0390578190086929,-0.822390037994196,0,0.038241032389802,-0.839955389569849,0,NA,NA,NA,40,9.60541181529447,39,0.246292610648576,0,0,"hetero_ar1",0.5,"substantive"
4,"bam_fd",0.966302738993344,0.0384028888739523,-0.877466825927056,0,0.0374675050839198,-0.899372961481722,0,NA,NA,NA,40,9.945593642478,40,0.24863984106195,0,0,"hetero_ar1",0.5,"substantive"
5,"bam_fe",0.941368850134753,0.0425789559422513,-1.37699829805049,0,0.0413237784156364,-1.41882354695478,0,NA,NA,NA,40,9.5053650575365,39,0.243727309167602,0,0,"hetero_ar1",0.5,"substantive"
5,"bam_re",0.951205918502888,0.0426097849782369,-1.14513794242412,0,0.0409154975019004,-1.19255745319597,0,NA,NA,NA,40,9.48104625197839,39,0.243103750050728,0,0,"hetero_ar1",0.5,"substantive"
5,"bam_fd",0.958751091122515,0.0413302736693515,-0.998031351243452,0,0.0395957267364063,-1.04175152920121,0,NA,NA,NA,40,10.2677881249134,40,0.256694703122834,0,0,"hetero_ar1",0.5,"substantive"
6,"bam_fe",0.970301011682751,0.0384318304643715,-0.772770590377732,0,0.036099655884223,-0.822694499152523,0,NA,NA,NA,40,8.80156405505428,39,0.225681129616776,0,0,"hetero_ar1",0.5,"substantive"
6,"bam_re",0.973995388154064,0.0385330001186383,-0.674866004875578,0,0.0358486548022098,-0.725399934513935,0,NA,NA,NA,40,8.79022090768669,39,0.225390279684274,0,0,"hetero_ar1",0.5,"substantive"
6,"bam_fd",0.981207426268048,0.038964406662399,-0.482301036809756,0,0.0359665751111324,-0.522501063108877,0,NA,NA,NA,40,9.17508879778998,40,0.229377219944749,0,0,"hetero_ar1",0.5,"substantive"
7,"bam_fe",1.01678397396833,0.0380925906038047,0.440609937583249,0,0.0365133077299883,0.459667310681415,0,NA,NA,NA,40,8.73523728101952,39,0.223980443103065,0,0,"hetero_ar1",0.5,"substantive"
7,"bam_re",1.0217391867161,0.0379772371784159,0.572426756953735,0,0.0361476073106762,0.601400433762119,0,NA,NA,NA,40,8.73968846484742,39,0.224094576021729,0,0,"hetero_ar1",0.5,"substantive"
7,"bam_fd",1.00266423138732,0.0380044245141379,0.0701031898621282,0,0.0362974514833541,0.0733999572542259,0,NA,NA,NA,40,9.27334263870757,40,0.231833565967689,0,0,"hetero_ar1",0.5,"substantive"
8,"bam_fe",0.952074203160265,0.045198850410586,-1.06033220766407,0,0.0430923990886916,-1.11216357996442,0,NA,NA,NA,40,9.38597368381512,39,0.240665991892695,0,0,"hetero_ar1",0.5,"substantive"
8,"bam_re",0.960516557332739,0.0451495649768065,-0.874503280099015,0,0.0423678539955406,-0.931919815231064,0,NA,NA,NA,40,9.39325651251805,39,0.240852731090206,0,0,"hetero_ar1",0.5,"substantive"
8,"bam_fd",0.965144255962383,0.0412598144307919,-0.844786737858052,0,0.0390903603195218,-0.891671085984086,0,NA,NA,NA,40,10.0136931944855,40,0.250342329862137,0,0,"hetero_ar1",0.5,"substantive"
9,"bam_fe",0.950024788027038,0.0393954592972773,-1.26855259119712,0,0.0377179040542135,-1.32497319843463,0,NA,NA,NA,40,8.72186123828098,39,0.22363746764823,0,0,"hetero_ar1",0.5,"substantive"
