"model","method","se_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","error_design","rho","df_correction","K_smooth"
"np","bam_fd","classic",0.99582,0.28599748986198,1,0.463503957223929,3.17643483360106,9.59709816934236,19,0.505110429965387,0,0,0.989,0.997,0.997,0.995,"hetero_ar1",0.5,"substantive",20
"np","bam_fd","penalty",0.94072,0.176584043114088,0.914000000000004,0.267734782162347,2.97184316751241,9.59709816934236,19,0.505110429965387,0,0,0.929,0.947,0.941,0.943,"hetero_ar1",0.5,"substantive",20
"np","bam_fe","classic",0.9964,0.300399464319044,1,0.486987646898261,3.17734983906288,9.06515352621678,19,0.477113343485094,0,0,0.99,0.999,0.998,0.995,"hetero_ar1",0.5,"substantive",20
"np","bam_fe","penalty",0.9375,0.180630568413628,0.917999999999994,0.272090465223671,2.95256311987713,9.06515352621678,19,0.477113343485094,0,0,0.919,0.942,0.935,0.933,"hetero_ar1",0.5,"substantive",20
"np","bam_re","classic",0.99528,0.300601389166129,0.999,0.487310125617869,3.17732509465427,9.07321931597559,19,0.477537858735557,0,0,0.985,0.997,0.997,0.996,"hetero_ar1",0.5,"substantive",20
"np","bam_re","penalty",0.92266,0.176952429630777,0.880000000000003,0.267012608335376,2.95762420773673,9.07321931597559,19,0.477537858735557,0,0,0.898,0.917,0.929,0.922,"hetero_ar1",0.5,"substantive",20
"pl","bam_fd","classic",0.99644,0.289671049735535,0.999,0.469190665116763,3.17453189122268,9.52984393097743,19,0.501570733209338,0,0,0.989,0.999,0.997,1,"hetero_ar1",0.5,"substantive",20
"pl","bam_fd","penalty",0.944720000000001,0.178538771920025,0.921,0.270081466695125,2.96492662619537,9.52984393097743,19,0.501570733209338,0,0,0.925,0.939,0.954,0.952,"hetero_ar1",0.5,"substantive",20
"pl","bam_fe","classic",0.99764,0.301732470245057,1,0.488832063960124,3.17531559828322,9.03852189990426,19,0.475711678942329,0,0,0.994,0.997,0.998,0.998,"hetero_ar1",0.5,"substantive",20
"pl","bam_fe","penalty",0.943780000000001,0.181769302243365,0.920999999999999,0.273524185837607,2.94953984083505,9.03852189990426,19,0.475711678942329,0,0,0.932,0.939,0.938,0.954,"hetero_ar1",0.5,"substantive",20
"pl","bam_re","classic",0.99694,0.301929396086823,1,0.489150317936676,3.17529935094751,9.05045657903423,19,0.47633981994917,0,0,0.986,0.998,0.999,0.999,"hetero_ar1",0.5,"substantive",20
"pl","bam_re","penalty",0.929099999999999,0.17820865444864,0.907,0.268603975539296,2.95429918865136,9.05045657903423,19,0.47633981994917,0,0,0.902,0.922,0.933,0.927,"hetero_ar1",0.5,"substantive",20
