"model","method","se_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","error_design","rho","df_correction","K_smooth"
"np","bam_fd","classic",0.9998,0.27530312232443,1,0.458937642821242,3.26729282801668,11.6097906245324,39,0.297686939090573,0,0,0.998,1,1,1,"hetero_ar1",0.5,"substantive",40
"np","bam_fd","penalty",0.944240000000001,0.128384565468026,0.932999999999998,0.198229600571605,3.02619573753483,11.6097906245324,39,0.297686939090573,0,0,0.924,0.96,0.944,0.951,"hetero_ar1",0.5,"substantive",40
"np","bam_fe","classic",0.99994,0.311545259754773,1,0.519227330751409,3.26642162219813,10.5086574187925,39,0.269452754328012,0,0,0.999,1,1,1,"hetero_ar1",0.5,"substantive",40
"np","bam_fe","penalty",0.944399999999999,0.138763004961439,0.928999999999999,0.21212932001174,2.99627502883387,10.5086574187925,39,0.269452754328012,0,0,0.926,0.945,0.926,0.951,"hetero_ar1",0.5,"substantive",40
"np","bam_re","classic",0.99986,0.311596761174806,1,0.519298806136384,3.26632814884783,10.51064026651,39,0.26950359657718,0,0,0.999,1,1,1,"hetero_ar1",0.5,"substantive",40
"np","bam_re","penalty",0.93604,0.137602952629244,0.909000000000002,0.210491560592206,2.99819569507872,10.51064026651,39,0.26950359657718,0,0,0.917,0.937,0.923,0.936,"hetero_ar1",0.5,"substantive",40
"pl","bam_fd","classic",0.99962,0.277588903169561,1,0.462762566297667,3.26740713713261,11.5807666190636,39,0.296942733822143,0,0,0.998,1,1,1,"hetero_ar1",0.5,"substantive",40
"pl","bam_fd","penalty",0.942659999999998,0.129648798381722,0.931,0.199880343065042,3.02162694919429,11.5807666190636,39,0.296942733822143,0,0,0.926,0.938,0.946,0.949,"hetero_ar1",0.5,"substantive",40
"pl","bam_fe","classic",0.9999,0.310539194968937,1,0.517596565960925,3.26683714175912,10.505153303255,39,0.269362905211667,0,0,0.998,1,1,1,"hetero_ar1",0.5,"substantive",40
"pl","bam_fe","penalty",0.945699999999999,0.138782408185542,0.922999999999999,0.211834237998111,2.99170594906462,10.505153303255,39,0.269362905211667,0,0,0.934,0.945,0.939,0.943,"hetero_ar1",0.5,"substantive",40
"pl","bam_re","classic",0.99984,0.310596767063116,1,0.517679370779656,3.26674942988688,10.5061144051777,39,0.26938754885071,0,0,0.998,1,1,1,"hetero_ar1",0.5,"substantive",40
"pl","bam_re","penalty",0.937339999999999,0.137674745271042,0.916000000000002,0.210289792536025,2.99377838583833,10.5061144051777,39,0.26938754885071,0,0,0.916,0.939,0.94,0.937,"hetero_ar1",0.5,"substantive",40
