"sim","method","beta_hat","se_classic_cluster","t_classic_cluster","reject_classic_cluster","se_penalty_cluster","t_penalty_cluster","reject_penalty_cluster","p_boot","reject_wild_boot","boot_success","K_smooth","smooth_edf","edf_ceiling","edf_ratio","binding_90","binding_95","error_design","rho","df_correction"
1,"bam_fe",1.07623262956417,0.0257682359149437,2.95839535992296,1,0.0257546957684448,2.959950692082,1,NA,NA,NA,10,8.08636377703267,9,0.898484864114741,0,0,"hetero_ar1",0.5,"substantive"
1,"bam_re",1.07922416191569,0.0258343627476503,3.06661955201114,1,0.0257384462067825,3.07804757440315,1,NA,NA,NA,10,8.08965936151974,9,0.89885104016886,0,0,"hetero_ar1",0.5,"substantive"
1,"bam_fd",1.06707733832127,0.0241815845760693,2.77390168995175,1,0.0241722197294907,2.7749763601327,1,NA,NA,NA,10,8.32907222423428,10,0.832907222423428,0,0,"hetero_ar1",0.5,"substantive"
2,"bam_fe",1.08447904777761,0.0273561033652986,3.08812430811219,1,0.0273260846042842,3.09151673212501,1,NA,NA,NA,10,8.09294526064715,9,0.899216140071906,0,0,"hetero_ar1",0.5,"substantive"
2,"bam_re",1.08531707585259,0.0273562443517758,3.11874227892884,1,0.027218502767296,3.13452494363881,1,NA,NA,NA,10,8.09959852599336,9,0.89995539177704,0,0,"hetero_ar1",0.5,"substantive"
2,"bam_fd",1.12354487636638,0.0243372725601165,5.07636490741554,1,0.0243292313022765,5.07804273926328,1,NA,NA,NA,10,8.30224141574459,10,0.830224141574459,0,0,"hetero_ar1",0.5,"substantive"
3,"bam_fe",1.07944160334784,0.0276933106284921,2.86862067210228,1,0.0276911471680201,2.8688447923742,1,NA,NA,NA,10,8.00670610615339,9,0.889634011794821,0,0,"hetero_ar1",0.5,"substantive"
3,"bam_re",1.08148275923032,0.0276986008895375,2.941764443456,1,0.0276021813151538,2.952040576068,1,NA,NA,NA,10,8.00657277369058,9,0.889619197076731,0,0,"hetero_ar1",0.5,"substantive"
3,"bam_fd",1.07874615576371,0.0233187743573291,3.3769423108192,1,0.0233019023803226,3.37938741989617,1,NA,NA,NA,10,8.27966055734832,10,0.827966055734832,0,0,"hetero_ar1",0.5,"substantive"
4,"bam_fe",1.01867264938412,0.0297739691549631,0.62714679681875,0,0.0297293798650679,0.62808741618105,0,NA,NA,NA,10,8.17154448613152,9,0.907949387347946,1,0,"hetero_ar1",0.5,"substantive"
4,"bam_re",1.01836418007695,0.0297850278018493,0.616557426070658,0,0.0296310095665709,0.619762213491006,0,NA,NA,NA,10,8.17980997833934,9,0.908867775371038,1,0,"hetero_ar1",0.5,"substantive"
4,"bam_fd",1.03930158859897,0.026201450075372,1.49997761520485,0,0.02617950978759,1.50123470293534,0,NA,NA,NA,10,8.35751386258904,10,0.835751386258904,0,0,"hetero_ar1",0.5,"substantive"
5,"bam_fe",1.05829070576105,0.0244549384442987,2.38359650316932,1,0.0244083294596146,2.38814810564966,1,NA,NA,NA,10,8.02219450371958,9,0.891354944857731,0,0,"hetero_ar1",0.5,"substantive"
5,"bam_re",1.0601332874126,0.0245189789181961,2.45252005041595,1,0.0243822833218314,2.46626973441654,1,NA,NA,NA,10,8.02428893797412,9,0.891587659774902,0,0,"hetero_ar1",0.5,"substantive"
