"sim","method","beta_hat","se_classic_cluster","t_classic_cluster","reject_classic_cluster","se_penalty_cluster","t_penalty_cluster","reject_penalty_cluster","p_boot","reject_wild_boot","boot_success","K_smooth","smooth_edf","edf_ceiling","edf_ratio","binding_90","binding_95","error_design","rho","df_correction"
1,"bam_fe",1.03783747431268,0.0407209133385243,0.9291902172755,0,0.0399874723340102,0.946233210157136,0,NA,NA,NA,20,8.96441247862336,19,0.47181118308544,0,0,"hetero_ar1",0.5,"substantive"
1,"bam_re",1.04385987518599,0.0406723758606604,1.07837012856707,0,0.0395911595860312,1.10781991850179,0,NA,NA,NA,20,8.93199182949538,19,0.470104833131336,0,0,"hetero_ar1",0.5,"substantive"
1,"bam_fd",1.06515468739011,0.0377142906239896,1.72758618317126,0,0.0369080905675288,1.76532262678016,0,NA,NA,NA,20,9.61427519864328,20,0.480713759932164,0,0,"hetero_ar1",0.5,"substantive"
2,"bam_fe",1.02453500875056,0.0358003945761921,0.685327886494314,0,0.0356655600612509,0.687918785193016,0,NA,NA,NA,20,8.68583858366795,19,0.457149399140419,0,0,"hetero_ar1",0.5,"substantive"
2,"bam_re",1.02667391153358,0.0359935897507357,0.741073944507991,0,0.0356145569357167,0.748960925773296,0,NA,NA,NA,20,8.6891075619515,19,0.457321450629026,0,0,"hetero_ar1",0.5,"substantive"
2,"bam_fd",1.0159971264094,0.0377273881840283,0.424018920455634,0,0.0374645838143767,0.42699330356003,0,NA,NA,NA,20,9.10223337992633,20,0.455111668996316,0,0,"hetero_ar1",0.5,"substantive"
3,"bam_fe",1.07996203622443,0.0434809216793671,1.83901428801518,0,0.0429639639841602,1.8611419619918,0,NA,NA,NA,20,8.82139725112108,19,0.464284065848478,0,0,"hetero_ar1",0.5,"substantive"
3,"bam_re",1.0780244549547,0.0433508589522725,1.79983642401655,0,0.0422997753060917,1.84455956066196,0,NA,NA,NA,20,8.8194435800993,19,0.464181241057858,0,0,"hetero_ar1",0.5,"substantive"
3,"bam_fd",1.08460147793277,0.0430949953468987,1.963139275263,1,0.0427579319699451,1.97861482150821,1,NA,NA,NA,20,9.30383653197788,20,0.465191826598894,0,0,"hetero_ar1",0.5,"substantive"
4,"bam_fe",1.0372092986128,0.0389849786362592,0.954452199653043,0,0.0387374454702226,0.960551171124779,0,NA,NA,NA,20,9.38769588916427,19,0.494089257324435,0,0,"hetero_ar1",0.5,"substantive"
