"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp","mc_seed","chunk"
"np","bam_fd","classic_cluster",0.99504,0.179976597588471,1,0.291601046317333,3.17562753736643,0.984,0.992,0.996,0.992,0.00187264896397267,0.0320695655157348,0.0459132410105756,1.43559530467512,0.00598809566889058,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261903,"a2"
"np","bam_fd","penalty_cluster",0.94224,0.122268738628956,0.932000000000007,0.189170147576849,3.03217414996627,0.912,0.956,0.94,0.96,0.00187264896397267,0.0320695655157348,0.0311915779048484,0.976989417694921,0.00598809566889058,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261903,"a2"
"np","bam_fd","penalty_cluster_delta",0.964879999999999,0.135662557160604,0.988,0.214174683914257,3.0942182902682,0.932,0.98,0.968,0.964,0.00187264896397267,0.0320695655157348,0.0346084311320752,1.08437618717445,0.00598809566889058,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261903,"a2"
"np","bam_fd","mgcv_sandwich_freq",0.9216,0.113394020356367,0.888000000000002,0.176039413916892,3.04254955824185,0.884,0.936,0.936,0.952,0.00187264896397267,0.0320695655157348,0.0289275775603034,0.906194145470191,0.00598809566889058,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261903,"a2"
"np","bam_fd","mgcv_sandwich_default",0.95232,0.127695991117803,0.98,0.202211923934166,3.1035905781111,0.92,0.972,0.96,0.96,0.00187264896397267,0.0320695655157348,0.032576106531817,1.02085945482072,0.00598809566889058,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261903,"a2"
"np","bam_fe","classic_cluster",0.99568,0.189009324432703,1,0.305918675884121,3.17234635748704,0.984,0.996,1,1,0.00232859718221092,0.0318105479807282,0.0482175504049014,1.51565828543166,0.00534322696744283,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261903,"a2"
"np","bam_fe","penalty_cluster",0.948,0.1247127470555,0.948000000000001,0.19299713151502,3.03306751310506,0.924,0.956,0.956,0.952,0.00232859718221092,0.0318105479807282,0.0318150608988784,1.00150985375313,0.00534322696744283,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261903,"a2"
"np","bam_fe","penalty_cluster_delta",0.97232,0.140964844000278,0.992,0.222185637024702,3.08936898249575,0.944,0.976,0.98,0.972,0.00232859718221092,0.0318105479807282,0.0359610801811133,1.13258058515627,0.00534322696744283,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261903,"a2"
"np","bam_fe","mgcv_sandwich_freq",0.94912,0.125031667031863,0.943999999999999,0.193727746263724,3.03679980840132,0.924,0.956,0.952,0.94,0.00232859718221092,0.0318105479807282,0.0318964195306895,1.00417301593893,0.00534322696744283,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261903,"a2"
"np","bam_fe","mgcv_sandwich_default",0.97272,0.141224733280518,0.996,0.222183360486886,3.08350654868713,0.944,0.976,0.98,0.972,0.00232859718221092,0.0318105479807282,0.0360273796851577,1.13476375401186,0.00534322696744283,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261903,"a2"
