"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp","mc_seed","chunk"
"pl","bam_fd","penalty_cluster",0.9468,0.123394740791018,0.940000000000001,0.191179420704549,3.03650173218397,0.928,0.944,0.932,0.956,0.00329361810641988,0.0317368804411366,0.0314788286326534,0.997276057064375,0.0106800501483216,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fd","penalty_cluster_delta",0.96872,0.137032409524101,0.988,0.216514318312232,3.09670481079101,0.948,0.98,0.952,0.972,0.00329361810641988,0.0317368804411366,0.0349578896870031,1.10951979022889,0.0106800501483216,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fd","mgcv_sandwich_freq",0.92904,0.114239988470892,0.899999999999999,0.177040613849065,3.03729185659134,0.896,0.936,0.92,0.92,0.00329361810641988,0.0317368804411366,0.0291433897183831,0.924160997615826,0.0106800501483216,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fd","mgcv_sandwich_default",0.95816,0.128807387036931,0.972,0.203558385226349,3.0973219107323,0.928,0.972,0.944,0.96,0.00329361810641988,0.0317368804411366,0.0328596311087722,1.04397075062498,0.0106800501483216,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fe","classic_cluster",0.99544,0.19001704140634,0.996,0.307192826763218,3.16857521909683,0.988,1,0.996,0.996,0.00286048900378361,0.0327981458465315,0.0484746257852618,1.47925876775078,0.00783394355897638,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fe","penalty_cluster",0.942479999999999,0.125409093983008,0.932000000000001,0.193921403153846,3.03076836931807,0.908,0.956,0.94,0.912,0.00286048900378361,0.0327981458465315,0.0319927036854296,0.979344026448573,0.00783394355897638,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fe","penalty_cluster_delta",0.971680000000001,0.141900146563243,0.992,0.223485470867999,3.08684769597437,0.936,0.98,0.976,0.948,0.00286048900378361,0.0327981458465315,0.0361996821580736,1.11056922575599,0.00783394355897638,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fe","mgcv_sandwich_freq",0.943920000000001,0.125642173043812,0.943999999999999,0.194857161398083,3.03965891671895,0.908,0.96,0.94,0.92,0.00286048900378361,0.0327981458465315,0.0320521637221043,0.981663666150127,0.00783394355897638,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fe","mgcv_sandwich_default",0.972640000000001,0.142072212645228,0.992,0.223440164820971,3.0822978862396,0.944,0.98,0.976,0.952,0.00286048900378361,0.0327981458465315,0.0362435773733281,1.11236612975915,0.00783394355897638,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_re","classic_cluster",0.99296,0.190114504431227,0.996,0.307693457374637,3.17216209705463,0.976,0.988,0.996,0.992,0.0140842138375751,0.0323460810345034,0.0484994892586869,1.5006063139855,0.0274238363697023,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_re","penalty_cluster",0.913920000000001,0.123246886690711,0.904000000000003,0.190651543167906,3.03185569979522,0.824,0.92,0.94,0.9,0.0140842138375751,0.0323460810345034,0.0314411100568343,0.976553134528526,0.0274238363697023,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_re","penalty_cluster_delta",0.95112,0.140892930197055,0.98,0.222504584238943,3.09522351136026,0.904,0.968,0.964,0.944,0.0140842138375751,0.0323460810345034,0.0359427344860417,1.11868177580205,0.0274238363697023,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_re","mgcv_sandwich_freq",0.914480000000001,0.123456911337544,0.911999999999996,0.191001762954452,3.03230716018466,0.828,0.928,0.944,0.904,0.0140842138375751,0.0323460810345034,0.0314946887573845,0.978736700257535,0.0274238363697023,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_re","mgcv_sandwich_default",0.953359999999999,0.141041220382073,0.976000000000001,0.222465409544271,3.09145068025711,0.908,0.968,0.968,0.928,0.0140842138375751,0.0323460810345034,0.0359805643100048,1.12032319353753,0.0274238363697023,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
