"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp"
"np","bam_fd","classic_cluster",0.99604,0.271241327155471,1,0.439083826324772,3.172701272655,0.991,0.999,0.992,0.991,0.00255065929124914,0.0450745175266254,0.0691954875944121,1.53431754015798,0.00674042284205689,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","penalty_cluster",0.94566,0.173183005865836,0.936999999999996,0.26635648843881,3.01439944501899,0.932,0.954,0.937,0.947,0.00255065929124914,0.0450745175266254,0.0441801500517054,0.981088111062031,0.00674042284205689,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","penalty_cluster_delta",0.96568,0.190855161246774,0.976999999999999,0.298164029457215,3.06183291861915,0.954,0.974,0.954,0.966,0.00255065929124914,0.0450745175266254,0.0486884357958145,1.08175445949635,0.00674042284205689,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","mgcv_sandwich_freq",0.90554,0.150605977524977,0.838000000000008,0.232258663741619,3.02247087376545,0.886,0.906,0.898,0.9,0.00255065929124914,0.0450745175266254,0.0384205982132677,0.853157985082075,0.00674042284205689,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","mgcv_sandwich_default",0.941840000000001,0.170596679604584,0.938000000000005,0.267298915808006,3.070909964053,0.922,0.946,0.934,0.94,0.00255065929124914,0.0450745175266254,0.0435203608204611,0.967037654311632,0.00674042284205689,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fe","classic_cluster",0.99628,0.235382549595983,1,0.38097443865546,3.17222647527398,0.988,0.996,0.995,0.995,0.00236361138939408,0.0387701018504108,0.0600476721645527,1.54988020089105,0.0056089603634536,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fe","penalty_cluster",0.94322,0.148664575664544,0.936999999999994,0.228232718718439,3.00892218250473,0.923,0.945,0.941,0.95,0.00236361138939408,0.0387701018504108,0.0379253335360218,0.980397470422615,0.0056089603634536,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fe","penalty_cluster_delta",0.97024,0.168594442611555,0.98,0.264038521588946,3.06960099742029,0.959,0.974,0.967,0.965,0.00236361138939408,0.0387701018504108,0.0430095766915635,1.11274577911849,0.0056089603634536,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fe","mgcv_sandwich_freq",0.94444,0.148960873756391,0.945000000000005,0.229545020835523,3.02017378691793,0.927,0.945,0.941,0.95,0.00236361138939408,0.0387701018504108,0.0380009211728826,0.982464596139864,0.0056089603634536,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fe","mgcv_sandwich_default",0.971,0.168830362714257,0.982,0.26418073853982,3.06691864831204,0.959,0.974,0.97,0.964,0.00236361138939408,0.0387701018504108,0.0430697614971422,1.11440874911946,0.0056089603634536,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_re","classic_cluster",0.99194,0.235548244301821,1,0.381626997007671,3.17546597617285,0.973,0.993,0.994,0.991,0.0201726633291842,0.0382525620206814,0.0600899419988824,1.57056967490062,0.0359928022739963,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_re","penalty_cluster",0.900980000000001,0.144281750909402,0.854000000000001,0.221584403789779,3.01000443637348,0.838,0.878,0.937,0.902,0.0201726633291842,0.0382525620206814,0.0368072454513139,0.964820401771385,0.0359928022739963,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_re","penalty_cluster_delta",0.94362,0.166493031157564,0.961000000000001,0.26094002134605,3.07185214172576,0.905,0.928,0.967,0.945,0.0201726633291842,0.0382525620206814,0.0424734924903825,1.11337207277567,0.0359928022739963,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_re","mgcv_sandwich_freq",0.902539999999999,0.144613535539298,0.862000000000001,0.223008015144222,3.02245793060857,0.842,0.881,0.937,0.903,0.0201726633291842,0.0382525620206814,0.0368918859428009,0.967128250635076,0.0359928022739963,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_re","mgcv_sandwich_default",0.94476,0.166753103428764,0.966000000000001,0.261170659075843,3.06973860291603,0.908,0.93,0.969,0.947,0.0201726633291842,0.0382525620206814,0.042539838676652,1.11519781560304,0.0359928022739963,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"pl","bam_fd","classic_cluster",0.99626,0.270830781775111,1,0.438779061713812,3.17534842612665,0.99,0.994,0.997,1,0.00127153432489674,0.0453767708951087,0.0690907547055431,1.51954283064548,0.0038186265321446,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.944779999999999,0.17325110447453,0.932999999999997,0.266208555955419,3.01151126201312,0.932,0.937,0.948,0.952,0.00127153432489674,0.0453767708951087,0.0441975224649822,0.974564501468052,0.0038186265321446,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.96514,0.191079423281535,0.981000000000003,0.298893447318768,3.06589509889605,0.953,0.966,0.967,0.97,0.00127153432489674,0.0453767708951087,0.0487456465498207,1.07664504959727,0.0038186265321446,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"pl","bam_fd","mgcv_sandwich_freq",0.906060000000001,0.1506686259945,0.826000000000003,0.231824403219285,3.01549548961188,0.881,0.896,0.912,0.919,0.00127153432489674,0.0453767708951087,0.0384365802593708,0.84784740884836,0.0038186265321446,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"pl","bam_fd","mgcv_sandwich_default",0.94308,0.170815774887975,0.944,0.267829535279746,3.07306538745956,0.919,0.942,0.949,0.944,0.00127153432489674,0.0453767708951087,0.0435762535014285,0.963164922842268,0.0038186265321446,1000,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
