"method","vcov_type","n_success","rejection_frequency","beta_coverage","mean_beta_hat","sd_beta_hat","mean_se","se_to_sd","mean_delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
"bam_fd","classic_cluster",1000,0.279,0.947,1.07598937629723,0.0530632529229647,0.0545326116830036,1.02769070268218,9.16115811104691e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_fd","penalty_cluster",1000,0.296,0.944,1.07598937629723,0.0530632529229647,0.0534563285880135,1.00740768127464,9.16115811104691e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_fd","penalty_cluster_delta",1000,0.295,0.946,1.07598937629723,0.0530632529229647,0.0535421107165474,1.00902428266654,9.16115811104691e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_fd","mgcv_sandwich_freq",1000,0.383,0.908,1.07598937629723,0.0530632529229647,0.0463935508483434,0.874306573622539,9.16115811104691e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_fd","mgcv_sandwich_default",1000,0.382,0.908,1.07598937629723,0.0530632529229647,0.0464921029403224,0.876163830510315,9.16115811104691e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_fe","classic_cluster",1000,0.338,0.95,1.0753357353757,0.0459137365497557,0.0475838145876493,1.036374256669,6.81839140505194e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_fe","penalty_cluster",1000,0.354,0.95,1.0753357353757,0.0459137365497557,0.046781492122367,1.01889969403102,6.81839140505194e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_fe","penalty_cluster_delta",1000,0.353,0.95,1.0753357353757,0.0459137365497557,0.0468545072048269,1.02048996064722,6.81839140505194e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_fe","mgcv_sandwich_freq",1000,0.353,0.952,1.0753357353757,0.0459137365497557,0.0466038645658511,1.01503097042314,6.81839140505194e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_fe","mgcv_sandwich_default",1000,0.352,0.952,1.0753357353757,0.0459137365497557,0.0466769795728498,1.01662341339322,6.81839140505194e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_re","classic_cluster",1000,0.397,0.958,1.0811735817846,0.0454461420605384,0.0476092182487828,1.04759647552399,3.68670209925723e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_re","penalty_cluster",1000,0.426,0.95,1.0811735817846,0.0454461420605384,0.0460708977709713,1.01374716713248,3.68670209925723e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_re","penalty_cluster_delta",1000,0.419,0.955,1.0811735817846,0.0454461420605384,0.046469122710989,1.02250973578985,3.68670209925723e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_re","mgcv_sandwich_freq",1000,0.421,0.952,1.0811735817846,0.0454461420605384,0.0459666956215565,1.01145429595156,3.68670209925723e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
"bam_re","mgcv_sandwich_default",1000,0.414,0.955,1.0811735817846,0.0454461420605384,0.0463649244926125,1.02021695110776,3.68670209925723e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1.075,1
