"model","method","vcov_type","x","point_coverage","mean_estimate","mean_reported_se","empirical_sd","truth","bias","se_to_sd","abs_bias","error_design","rho","df_correction","M","n","T","K","dgp"
"np","bam_fd","classic_cluster",0.05,1,0.306284730222943,0.0927749636178341,0.0554299349514533,0.309016994374947,-0.002732264152004,1.67373394356476,0.002732264152004,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.0683673469387755,0.998,0.411165817241782,0.0820188268121616,0.0550081197140951,0.416475099043599,-0.00530928180181717,1.49103127390019,0.00530928180181717,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.086734693877551,0.991,0.512476944114225,0.074759819320948,0.0539669600786434,0.518392568310525,-0.00591562419630043,1.38528868796768,0.00591562419630043,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.105102040816327,0.997,0.608037053839845,0.079419886854704,0.0524067703724831,0.613413528704367,-0.00537647486452209,1.51545089098649,0.00537647486452209,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.123469387755102,0.995,0.695817467614815,0.0762381989507023,0.0509320771627392,0.700273855435255,-0.00445638782044,1.49686019494364,0.00445638782044,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.141836734693878,0.993,0.774303249069549,0.071238733301716,0.0496564650987641,0.777817989857797,-0.00351474078824809,1.43463158644148,0.00351474078824809,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.160204081632653,0.993,0.842479347082303,0.0728302870670815,0.0483658599778962,0.845014312609001,-0.00253496552669807,1.50582016117083,0.00253496552669807,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.178571428571429,0.995,0.899533059493437,0.070037857642911,0.046948479471899,0.900968867902419,-0.00143580840898216,1.49180247008494,0.00143580840898216,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.196938775510204,0.997,0.944592770589597,0.0667084114746976,0.0455063434861643,0.944937256395429,-0.000344485805832351,1.46591455969165,0.000344485805832351,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.21530612244898,0.997,0.976739916994195,0.0676330888507963,0.0440826178694566,0.976334538411204,0.000405378582990501,1.5342348553591,0.000405378582990501,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.233673469387755,0.998,0.995272596740566,0.0648009421329155,0.042561791906771,0.994743015766457,0.000529580974108934,1.52251442502369,0.000529580974108934,"hetero",NA,"substantive",1000,500,4,20,"sin_2pi"
