"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp"
"np","bam_fd","classic_cluster",0.99748,0.430038632817466,0.999,0.696934872674389,3.17643727977269,0.991,0.998,0.998,0.998,0.00459055774905731,0.0659116055906686,0.109705748730476,1.67365429407738,0.0116045102418296,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","penalty_cluster",0.940799999999999,0.250518919446741,0.919000000000001,0.374858904717744,2.93295818233211,0.925,0.95,0.946,0.953,0.00459055774905731,0.0659116055906686,0.0639090619579754,0.972494322889798,0.0116045102418296,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","penalty_cluster_delta",0.962540000000001,0.277564022713277,0.976000000000001,0.427530044771729,3.01905259747423,0.948,0.969,0.965,0.97,0.00459055774905731,0.0659116055906686,0.0708084497732272,1.0789811048354,0.0116045102418296,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","mgcv_sandwich_freq",0.903439999999999,0.218763558696063,0.821999999999998,0.327436219675199,2.93355992796016,0.88,0.91,0.917,0.909,0.00459055774905731,0.0659116055906686,0.0558080557657288,0.849045099444667,0.0116045102418296,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","mgcv_sandwich_default",0.941700000000001,0.249173022379448,0.933000000000001,0.385966917761327,3.03592756454964,0.921,0.956,0.951,0.949,0.00459055774905731,0.0659116055906686,0.0635657145602912,0.968795526870074,0.0116045102418296,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fe","classic_cluster",0.99814,0.373904548762858,1,0.606053562290888,3.17685059011474,0.993,1,1,1,0.00403590316808582,0.0564442701158385,0.0953855661920754,1.69843939983128,0.0103589211376117,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fe","penalty_cluster",0.941359999999999,0.215790456203232,0.917999999999995,0.322074339359865,2.9255678114243,0.929,0.948,0.935,0.945,0.00403590316808582,0.0564442701158385,0.0550495973153995,0.97766334182275,0.0103589211376117,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fe","penalty_cluster_delta",0.96922,0.245898834415126,0.98,0.380105036142385,3.02973198868089,0.955,0.976,0.973,0.975,0.00403590316808582,0.0564442701158385,0.0627304471803422,1.11628584682229,0.0103589211376117,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fe","mgcv_sandwich_freq",0.943979999999999,0.216570182599289,0.929000000000001,0.323437998740331,2.9271996562001,0.928,0.955,0.943,0.951,0.00403590316808582,0.0564442701158385,0.0552485107653933,0.98105660429949,0.0103589211376117,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fe","mgcv_sandwich_default",0.970440000000001,0.24651180375392,0.982999999999999,0.381047881004874,3.02961599715897,0.958,0.978,0.975,0.975,0.00403590316808582,0.0564442701158385,0.0628868197830098,1.11894176847748,0.0103589211376117,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_re","classic_cluster",0.99658,0.374255592106037,1,0.606600576172985,3.17673703156357,0.986,0.998,1,1,0.0222412341852404,0.0553273038287406,0.0954751197109021,1.73213183982783,0.0411489430763211,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_re","penalty_cluster",0.916220000000001,0.208639665553312,0.873000000000003,0.312281380582145,2.93375171452873,0.889,0.921,0.938,0.917,0.0222412341852404,0.0553273038287406,0.0532253825067796,0.964788731249538,0.0411489430763211,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_re","penalty_cluster_delta",0.95666,0.242541212064851,0.969000000000004,0.375305113959829,3.03285684861706,0.933,0.963,0.975,0.96,0.0222412341852404,0.0553273038287406,0.0618738951271516,1.12270840739448,0.0411489430763211,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_re","mgcv_sandwich_freq",0.91828,0.209397596321287,0.895000000000001,0.313580409271046,2.93510315495869,0.893,0.926,0.94,0.917,0.0222412341852404,0.0553273038287406,0.0534187357453986,0.96814576298634,0.0411489430763211,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_re","mgcv_sandwich_default",0.95806,0.24311333630772,0.968000000000001,0.376296658264401,3.03364280024645,0.931,0.967,0.976,0.961,0.0222412341852404,0.0553273038287406,0.0620198478710238,1.1252344289548,0.0411489430763211,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fd","classic_cluster",0.9971,0.429657530187209,1,0.69614349170768,3.1756429417876,0.989,0.996,0.999,0.997,0.00411394363780144,0.0662180388115949,0.109608526885262,1.65860987286115,0.0100498114351323,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fd","penalty_cluster",0.94114,0.251060668305993,0.922999999999998,0.375241525493996,2.92929999003106,0.931,0.944,0.95,0.95,0.00411394363780144,0.0662180388115949,0.0640472657371074,0.968221181167803,0.0100498114351323,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fd","penalty_cluster_delta",0.96506,0.27835748636157,0.972,0.42876600847993,3.01907907650386,0.951,0.97,0.968,0.969,0.00411394363780144,0.0662180388115949,0.071010867688697,1.0762320999534,0.0100498114351323,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"pl","bam_fd","mgcv_sandwich_freq",0.904440000000001,0.219414378537876,0.828999999999998,0.328152124625291,2.93106197570616,0.888,0.898,0.914,0.901,0.00411394363780144,0.0662180388115949,0.0559740842863922,0.846345179616729,0.0100498114351323,1000,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
