"method","vcov_type","n_success","rejection_frequency","beta_coverage","mean_beta_hat","sd_beta_hat","mean_se","se_to_sd","mean_delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
"bam_fd","classic_cluster",1000,0.056,0.944,0.999438655470849,0.0258411581264479,0.0251888919909806,0.974758633793597,1.08909967816786e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_fd","penalty_cluster",1000,0.058,0.942,0.999438655470849,0.0258411581264479,0.025015357103978,0.968043188373023,1.08909967816786e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_fd","penalty_cluster_delta",1000,0.058,0.942,0.999438655470849,0.0258411581264479,0.0250371792830874,0.968887662099879,1.08909967816786e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_fd","mgcv_sandwich_freq",1000,0.087,0.913,0.999438655470849,0.0258411581264479,0.0220906489995347,0.854862962853253,1.08909967816786e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_fd","mgcv_sandwich_default",1000,0.087,0.913,0.999438655470849,0.0258411581264479,0.0221152880650925,0.855816444327935,1.08909967816786e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_fe","classic_cluster",1000,0.059,0.941,0.999184851490905,0.0286538167910109,0.0279714386400261,0.97618543609873,1.12618148711803e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_fe","penalty_cluster",1000,0.062,0.938,0.999184851490905,0.0286538167910109,0.0278002537116009,0.970211190863836,1.12618148711803e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_fe","penalty_cluster_delta",1000,0.062,0.938,0.999184851490905,0.0286538167910109,0.0278205898507048,0.970920909197429,1.12618148711803e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_fe","mgcv_sandwich_freq",1000,0.068,0.932,0.999184851490905,0.0286538167910109,0.0274125918640205,0.956682038695111,1.12618148711803e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_fe","mgcv_sandwich_default",1000,0.068,0.932,0.999184851490905,0.0286538167910109,0.0274331413000698,0.95739920095657,1.12618148711803e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_re","classic_cluster",1000,0.052,0.948,1.00124651863812,0.0286421747372263,0.0279747292844623,0.976697109807918,3.22170516332667e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_re","penalty_cluster",1000,0.056,0.944,1.00124651863812,0.0286421747372263,0.0277107630369724,0.967481111025996,3.22170516332667e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_re","penalty_cluster_delta",1000,0.056,0.944,1.00124651863812,0.0286421747372263,0.0277689627087482,0.969513068176937,3.22170516332667e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_re","mgcv_sandwich_freq",1000,0.064,0.936,1.00124651863812,0.0286421747372263,0.0273384497668677,0.954482333051892,3.22170516332667e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
"bam_re","mgcv_sandwich_default",1000,0.064,0.936,1.00124651863812,0.0286421747372263,0.0273972683587004,0.956535898899189,3.22170516332667e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
