"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp"
"np","bam_fd","classic_cluster",0.99386,0.190287093541048,1,0.308895183179632,3.18165350228522,0.985,0.997,0.991,0.996,0.0015264706874505,0.0332050697986432,0.0485435179018615,1.46505666622716,0.0045838023201038,1000,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","penalty_cluster",0.944600000000001,0.128157154294166,0.936999999999998,0.197624292645473,3.0223346435354,0.925,0.959,0.945,0.952,0.0015264706874505,0.0332050697986432,0.0326937523610263,0.98803435692557,0.0045838023201038,1000,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","penalty_cluster_delta",0.966219999999999,0.141873858056548,0.98,0.223715817281959,3.09065870850137,0.949,0.979,0.961,0.971,0.0015264706874505,0.0332050697986432,0.0361929757831345,1.09416568411948,0.0045838023201038,1000,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","mgcv_sandwich_freq",0.92222,0.116786427402099,0.885000000000004,0.180288817697418,3.0255186465208,0.902,0.939,0.925,0.922,0.0015264706874505,0.0332050697986432,0.0297930034233526,0.90054265411972,0.0045838023201038,1000,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","mgcv_sandwich_default",0.953420000000001,0.131635422735286,0.964999999999998,0.208153496962604,3.09917641351616,0.933,0.969,0.952,0.952,0.0015264706874505,0.0332050697986432,0.0335810820437543,1.01543820548864,0.0045838023201038,1000,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fe","classic_cluster",0.99582,0.21578059124799,1,0.350136589635801,3.18035557608101,0.988,0.992,0.994,0.995,0.00226907154729602,0.0359664233864793,0.0550470806989413,1.53059216304628,0.0059179123449411,1000,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fe","penalty_cluster",0.9448,0.138735714590226,0.926,0.212018611598344,2.99530655648798,0.926,0.946,0.926,0.947,0.00226907154729602,0.0359664233864793,0.0353924142699958,0.985201681475465,0.0059179123449411,1000,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fe","penalty_cluster_delta",0.97072,0.157216545067143,0.982,0.247104055670958,3.08058467447688,0.958,0.971,0.966,0.972,0.00226907154729602,0.0359664233864793,0.040106998472229,1.11735272655525,0.0059179123449411,1000,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fe","mgcv_sandwich_freq",0.94696,0.139163565752773,0.936999999999997,0.212813729525472,2.99710814746028,0.932,0.945,0.932,0.947,0.00226907154729602,0.0359664233864793,0.0355015619803418,0.988463804549561,0.0059179123449411,1000,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fe","mgcv_sandwich_default",0.97184,0.157537992304749,0.991,0.247679664355944,3.08132090627827,0.96,0.97,0.963,0.973,0.00226907154729602,0.0359664233864793,0.0401890018253879,1.11984515312316,0.0059179123449411,1000,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
