"model","method","vcov_type","x","point_coverage","mean_estimate","mean_reported_se","empirical_sd","truth","bias","se_to_sd","abs_bias","error_design","rho","df_correction","M","n","T","K","dgp"
"np","bam_fd","classic_cluster",0.05,0.997,0.303853238131447,0.061452529337011,0.0384463219328182,0.309016994374947,-0.00516375624349985,1.59839813661224,0.00516375624349985,"hetero_ar1",0.5,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.0683673469387755,0.992,0.410813100013577,0.0543630645612152,0.0387113403995512,0.416475099043599,-0.00566199903002157,1.40431883784229,0.00566199903002157,"hetero_ar1",0.5,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.086734693877551,0.985,0.513457738190417,0.0497250390164303,0.0381529965144684,0.518392568310525,-0.00493483012010776,1.30330625531794,0.00493483012010776,"hetero_ar1",0.5,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.105102040816327,0.995,0.609739076545107,0.0527819464727793,0.0368575272030832,0.613413528704367,-0.00367445215926032,1.43205338171368,0.00367445215926032,"hetero_ar1",0.5,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.123469387755102,0.992,0.697793120198667,0.0506014967570311,0.0352874901884764,0.700273855435255,-0.00248073523658843,1.4339783443583,0.00248073523658843,"hetero_ar1",0.5,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.141836734693878,0.992,0.7761663483302,0.0472567190645075,0.0337433431682835,0.777817989857797,-0.00165164152759689,1.40047531238474,0.00165164152759689,"hetero_ar1",0.5,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.160204081632653,0.995,0.843811810351427,0.0482398836648162,0.0323982085719802,0.845014312609001,-0.00120250225757412,1.48896762478827,0.00120250225757412,"hetero_ar1",0.5,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.178571428571429,0.992,0.899936938528237,0.0462182661416311,0.0312686917247397,0.900968867902419,-0.00103192937418195,1.47810041265856,0.00103192937418195,"hetero_ar1",0.5,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.196938775510204,0.992,0.94386539512077,0.0439613274835995,0.0304274656471207,0.944937256395429,-0.00107186127465952,1.44479096594624,0.00107186127465952,"hetero_ar1",0.5,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.21530612244898,0.996,0.975047268794026,0.0446662341811801,0.0299072882010764,0.976334538411204,-0.00128726961717807,1.49348994401881,0.00128726961717807,"hetero_ar1",0.5,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.233673469387755,0.996,0.993162241320611,0.0428475170012133,0.0296028389626987,0.994743015766457,-0.00158077444584603,1.44741242740953,0.00158077444584603,"hetero_ar1",0.5,"substantive",1000,500,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.252040816326531,0.995,0.998160019824642,0.0416716052249936,0.029448139369925,0.999917788678319,-0.00175776885367696,1.41508448807303,0.00175776885367696,"hetero_ar1",0.5,"substantive",1000,500,4,20,"sin_2pi"
