"sim","method","vcov_type","beta_hat","variance","se","t_stat","reject","beta_covered","delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
2,"bam_fd","penalty_cluster",1.04880635494036,0.000584404078388932,0.0241744509428639,2.01892299666772,1,0,1.2433959409255e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fd","penalty_cluster_delta",1.04880635494036,0.000585647474329858,0.0242001544278101,2.01677865676248,1,0,1.2433959409255e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fd","mgcv_sandwich_freq",1.04880635494036,0.00051797917564336,0.0227591558640333,2.14447122871956,1,0,1.2433959409255e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fd","mgcv_sandwich_default",1.04880635494036,0.000519222571584286,0.0227864558802874,2.14190197882356,1,0,1.2433959409255e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fe","classic_cluster",1.00380388027478,0.000757033352323347,0.0275142390831247,0.138251334637776,0,1,8.15443432527498e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fe","penalty_cluster",1.00380388027478,0.000764650019815437,0.027652305867964,0.137561051615292,0,1,8.15443432527498e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fe","penalty_cluster_delta",1.00380388027478,0.000765465463247964,0.027667046521954,0.137487760819227,0,1,8.15443432527498e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fe","mgcv_sandwich_freq",1.00380388027478,0.000705973280772891,0.0265701577107267,0.143163631778112,0,1,8.15443432527498e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fe","mgcv_sandwich_default",1.00380388027478,0.000706788724205418,0.0265854983817385,0.143081021847524,0,1,8.15443432527498e-07,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_re","classic_cluster",1.00589591497146,0.000757130541125799,0.0275160051810905,0.214272200221537,0,1,3.14602373182303e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_re","penalty_cluster",1.00589591497146,0.000759706348406489,0.0275627710581953,0.213908643619721,0,1,3.14602373182303e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_re","penalty_cluster_delta",1.00589591497146,0.000762852372138312,0.027619782260878,0.21346710541635,0,1,3.14602373182303e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
