"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp","mc_seed","chunk"
"np","bam_fd","classic_cluster",0.99592,0.27196545006935,1,0.44004101188683,3.17134159946306,0.984,0.996,1,0.992,0.00445260563111692,0.0446160829674179,0.0693802162219763,1.56523226075004,0.0123787861185948,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_fd","penalty_cluster",0.94464,0.17334541117163,0.931999999999999,0.266661362183964,3.01510952752563,0.912,0.952,0.968,0.956,0.00445260563111692,0.0446160829674179,0.0442215807379514,0.999763349773265,0.0123787861185948,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_fd","penalty_cluster_delta",0.96616,0.191071904599677,0.98,0.298657456607569,3.06342934611391,0.94,0.972,0.988,0.972,0.00445260563111692,0.0446160829674179,0.0487437284834894,1.10269817171479,0.0123787861185948,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_fd","mgcv_sandwich_freq",0.90752,0.150643415435526,0.851999999999999,0.232238131628329,3.02165768343825,0.86,0.932,0.924,0.936,0.00445260563111692,0.0446160829674179,0.0384301488761482,0.86888770147632,0.0123787861185948,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_fd","mgcv_sandwich_default",0.942080000000001,0.170706705190969,0.919999999999999,0.267332421423244,3.06932505562615,0.9,0.952,0.96,0.944,0.00445260563111692,0.0446160829674179,0.0435484290878511,0.98538947358758,0.0123787861185948,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_fe","classic_cluster",0.99712,0.23575971717586,1,0.381634743227946,3.17284242668214,0.988,1,1,0.996,0.00355797544965952,0.0376845541025714,0.0601438901519371,1.60414744535749,0.0101346090868111,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_fe","penalty_cluster",0.95184,0.149107530510031,0.952000000000002,0.228805262501863,3.00737234970972,0.92,0.94,0.968,0.96,0.00355797544965952,0.0376845541025714,0.0380383342975106,1.01648036873255,0.0101346090868111,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_fe","penalty_cluster_delta",0.97384,0.169075033314035,0.992,0.264892838428929,3.07076599771931,0.956,0.968,0.984,0.972,0.00355797544965952,0.0376845541025714,0.0431321786134023,1.15364055973858,0.0101346090868111,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_fe","mgcv_sandwich_freq",0.95304,0.149339790111164,0.956,0.230070595208521,3.01938619977383,0.924,0.952,0.964,0.968,0.00355797544965952,0.0376845541025714,0.0380975852845097,1.01819270871772,0.0101346090868111,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_fe","mgcv_sandwich_default",0.97392,0.169255164554482,0.988,0.264645325612638,3.0644648231832,0.952,0.976,0.988,0.972,0.00355797544965952,0.0376845541025714,0.0431781313048466,1.15498881750433,0.0101346090868111,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_re","classic_cluster",0.99144,0.235934455358354,1,0.381923759071749,3.17278706146951,0.952,0.988,1,0.992,0.0216949792550292,0.0373602484696756,0.0601884670380107,1.61837173850647,0.0435031882184646,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_re","penalty_cluster",0.90928,0.144777925046644,0.844000000000005,0.222637638532045,3.01397065966789,0.828,0.924,0.96,0.928,0.0216949792550292,0.0373602484696756,0.0369338228122133,0.996490647785675,0.0435031882184646,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_re","penalty_cluster_delta",0.94976,0.167001886382306,0.948000000000001,0.262029283988845,3.07529725799006,0.88,0.944,0.98,0.964,0.0216949792550292,0.0373602484696756,0.0426033048820272,1.14949960944698,0.0435031882184646,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_re","mgcv_sandwich_freq",0.90928,0.145032732194162,0.863999999999998,0.223474897465592,3.02009392091112,0.832,0.932,0.964,0.92,0.0216949792550292,0.0373602484696756,0.0369988258300055,0.998369559509139,0.0435031882184646,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
"np","bam_re","mgcv_sandwich_default",0.9508,0.167195932292896,0.948000000000001,0.261828791059233,3.06915737448716,0.888,0.944,0.98,0.968,0.0216949792550292,0.0373602484696756,0.0426528072994496,1.15095268905397,0.0435031882184646,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260902,"h1"
