"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp"
"np","bam_fd","classic_cluster",0.99528,0.291096346726573,1,0.472384504644928,3.18063505171181,0.989,0.993,0.997,0.994,0.00299875891413519,0.0486249049588309,0.0742606366807512,1.52525355123521,0.00619019554485412,1000,"hetero",NA,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","penalty_cluster",0.94156,0.185239070187889,0.917999999999996,0.282459092537575,2.98865453408428,0.927,0.934,0.945,0.948,0.00299875891413519,0.0486249049588309,0.0472557331790358,0.971778627032531,0.00619019554485412,1000,"hetero",NA,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","penalty_cluster_delta",0.96058,0.203072785102696,0.970999999999999,0.316798490393937,3.0577215051528,0.949,0.949,0.963,0.962,0.00299875891413519,0.0486249049588309,0.0518052338472819,1.06591250062341,0.00619019554485412,1000,"hetero",NA,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","mgcv_sandwich_freq",0.88916,0.155737866594391,0.773999999999999,0.237712144877852,2.99149395823801,0.861,0.881,0.899,0.896,0.00299875891413519,0.0486249049588309,0.0397297776445974,0.817026521574086,0.00619019554485412,1000,"hetero",NA,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","mgcv_sandwich_default",0.93026,0.176495702752682,0.911999999999997,0.276912688473629,3.07509348151178,0.913,0.92,0.94,0.934,0.00299875891413519,0.0486249049588309,0.0450252413168962,0.926604149588571,0.00619019554485412,1000,"hetero",NA,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fe","classic_cluster",0.99642,0.244032519091566,1,0.395853616950603,3.17941219513729,0.991,0.991,1,0.996,0.00297268274655265,0.0398582886138465,0.0622543375838698,1.56062957568263,0.00737029545740597,1000,"hetero",NA,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fe","penalty_cluster",0.943840000000001,0.153178755941965,0.930999999999999,0.232826053567416,2.97906285271967,0.932,0.949,0.947,0.941,0.00297268274655265,0.0398582886138465,0.039076931298284,0.980756722564883,0.00737029545740597,1000,"hetero",NA,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fe","penalty_cluster_delta",0.969300000000001,0.173847368344784,0.983,0.272369331741587,3.0708410703833,0.96,0.971,0.971,0.972,0.00297268274655265,0.0398582886138465,0.0443496333902229,1.11417292433261,0.00737029545740597,1000,"hetero",NA,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fe","mgcv_sandwich_freq",0.94608,0.153571202950116,0.942,0.233702165561498,2.98258266091367,0.935,0.948,0.949,0.944,0.00297268274655265,0.0398582886138465,0.0391770471706281,0.983284375138625,0.00737029545740597,1000,"hetero",NA,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fe","mgcv_sandwich_default",0.97086,0.174136383690788,0.986,0.272703033436374,3.06941754312462,0.96,0.97,0.97,0.973,0.00297268274655265,0.0398582886138465,0.0444233631496174,1.11604469415856,0.00737029545740597,1000,"hetero",NA,"substantive",1000,200,8,20,"sin_2pi"
