"method","vcov_type","n_success","rejection_frequency","beta_coverage","mean_beta_hat","sd_beta_hat","mean_se","se_to_sd","mean_delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
"bam_fd","classic_cluster",1000,0.583,0.939,1.07502213115861,0.0343394493694796,0.0342096660928116,0.996220577817901,1.64931277259368e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fd","penalty_cluster",1000,0.589,0.937,1.07502213115861,0.0343394493694796,0.0339801259291004,0.989536132728483,1.64931277259368e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fd","penalty_cluster_delta",1000,0.588,0.937,1.07502213115861,0.0343394493694796,0.0340044084577538,0.990243264878217,1.64931277259368e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fd","mgcv_sandwich_freq",1000,0.698,0.904,1.07502213115861,0.0343394493694796,0.0293492074317196,0.854679034481102,1.64931277259368e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fd","mgcv_sandwich_default",1000,0.696,0.905,1.07502213115861,0.0343394493694796,0.029377285715155,0.855496702904768,1.64931277259368e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fe","classic_cluster",1000,0.703,0.941,1.07544180427077,0.0296005865172063,0.0297983307177065,1.00668041494331,1.23169948801764e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fe","penalty_cluster",1000,0.706,0.939,1.07544180427077,0.0296005865172063,0.0296216285304613,1.00071086474056,1.23169948801764e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fe","penalty_cluster_delta",1000,0.705,0.939,1.07544180427077,0.0296005865172063,0.0296424242814531,1.00141340997492,1.23169948801764e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fe","mgcv_sandwich_freq",1000,0.706,0.94,1.07544180427077,0.0296005865172063,0.0294899942472925,0.996263848696056,1.23169948801764e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fe","mgcv_sandwich_default",1000,0.706,0.94,1.07544180427077,0.0296005865172063,0.0295108608236501,0.996968786631844,1.23169948801764e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_re","classic_cluster",1000,0.768,0.95,1.08108358323272,0.029483032565518,0.0298134247629013,1.01120618093302,1.29096732423683e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_re","penalty_cluster",1000,0.779,0.945,1.08108358323272,0.029483032565518,0.029178166953646,0.98965962503367,1.29096732423683e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_re","penalty_cluster_delta",1000,0.775,0.946,1.08108358323272,0.029483032565518,0.0293984967632482,0.997132730424458,1.29096732423683e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_re","mgcv_sandwich_freq",1000,0.786,0.941,1.08108358323272,0.029483032565518,0.029087151654083,0.986572585077357,1.29096732423683e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_re","mgcv_sandwich_default",1000,0.783,0.944,1.08108358323272,0.029483032565518,0.0293079454336858,0.994061427316097,1.29096732423683e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
