"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp","mc_seed","chunk"
"np","bam_fd","classic_cluster",0.99728,0.271485765669481,1,0.440063865110059,3.17702436630985,0.988,0.988,1,1,0.00383809205895376,0.0441237566890928,0.0692578455040312,1.5688115564064,0.0102072336557291,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_fd","penalty_cluster",0.95024,0.173630456393293,0.944000000000007,0.267135640785202,3.01550442457159,0.92,0.948,0.948,0.96,0.00383809205895376,0.0441237566890928,0.0442942976919138,1.00475246193118,0.0102072336557291,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_fd","penalty_cluster_delta",0.97048,0.191260836432686,0.984000000000002,0.298560806593484,3.05958581093168,0.948,0.964,0.988,0.972,0.00383809205895376,0.0441237566890928,0.0487919262653109,1.10746099062345,0.0102072336557291,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_fd","mgcv_sandwich_freq",0.909759999999999,0.150911047026566,0.85999999999999,0.232884120993715,3.02462378493072,0.88,0.92,0.9,0.928,0.00383809205895376,0.0441237566890928,0.0384984234957716,0.873474821576276,0.0102072336557291,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_fd","mgcv_sandwich_default",0.94768,0.170865264494448,0.935999999999994,0.267688320724311,3.07046934778796,0.924,0.948,0.944,0.956,0.00383809205895376,0.0441237566890928,0.0435888786330288,0.98970021197082,0.0102072336557291,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_fe","classic_cluster",0.99848,0.235580651953608,1,0.381043731976485,3.17015828181538,0.992,1,0.992,0.996,0.0033537248193521,0.0380038072151978,0.0600982094089072,1.57972903589382,0.00879716936973074,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_fe","penalty_cluster",0.94936,0.149135291788118,0.947999999999999,0.229049690768507,3.01013027168632,0.932,0.94,0.932,0.94,0.0033537248193521,0.0380038072151978,0.0380454163863414,1.00156733721725,0.00879716936973074,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_fe","penalty_cluster_delta",0.97576,0.16903191684194,0.996,0.265085271509305,3.07370898969419,0.956,0.968,0.976,0.964,0.0033537248193521,0.0380038072151978,0.0431211793112635,1.13623446778946,0.00879716936973074,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_fe","mgcv_sandwich_freq",0.95,0.149260116507978,0.96,0.230137841987463,3.02186251188245,0.932,0.94,0.932,0.94,0.0033537248193521,0.0380038072151978,0.038077260012256,1.00264856209234,0.00879716936973074,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_fe","mgcv_sandwich_default",0.9764,0.169117886452749,0.992,0.264567421199937,3.06621617076181,0.96,0.972,0.976,0.972,0.0033537248193521,0.0380038072151978,0.0431431107374242,1.1370309725132,0.00879716936973074,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_re","classic_cluster",0.99416,0.235757542944146,1,0.381874861968511,3.17464121411792,0.98,0.992,0.992,0.996,0.02092035392731,0.0377104159870995,0.0601433354907976,1.59283627736869,0.0405479201036146,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_re","penalty_cluster",0.90032,0.144674005253252,0.856000000000003,0.222193214133987,3.01015855401692,0.832,0.92,0.928,0.876,0.02092035392731,0.0377104159870995,0.0369073121736987,0.980108878324234,0.0405479201036146,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_re","penalty_cluster_delta",0.943839999999999,0.166874255518916,0.959999999999999,0.262085207915725,3.0780737199646,0.892,0.948,0.964,0.94,0.02092035392731,0.0377104159870995,0.042570745390017,1.13081964342557,0.0405479201036146,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_re","mgcv_sandwich_freq",0.90152,0.14483049492152,0.871999999999995,0.223334318697789,3.02226715474948,0.836,0.912,0.932,0.88,0.02092035392731,0.0377104159870995,0.0369472337410087,0.981369629589204,0.0405479201036146,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"np","bam_re","mgcv_sandwich_default",0.9456,0.166983811433672,0.972,0.261556870355536,3.06996843998208,0.896,0.952,0.968,0.94,0.02092035392731,0.0377104159870995,0.0425986938410141,1.13174161555069,0.0405479201036146,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_fd","classic_cluster",0.99584,0.270433184026516,1,0.437865221290259,3.1734959902103,0.988,0.992,1,1,0.00404120374867924,0.044512975071578,0.0689893248446549,1.54623910470503,0.00919984259523121,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_fd","penalty_cluster",0.949999999999999,0.173248528888655,0.931999999999999,0.266149798363845,3.01083894770521,0.924,0.944,0.924,0.96,0.00404120374867924,0.044512975071578,0.0441968654156958,0.993841060276072,0.00919984259523121,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_fd","penalty_cluster_delta",0.970079999999999,0.190980707608469,0.972,0.298295722901708,3.06101595057583,0.952,0.968,0.968,0.964,0.00404120374867924,0.044512975071578,0.0487204635174169,1.09751967702361,0.00919984259523121,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_fd","mgcv_sandwich_freq",0.909280000000001,0.150645851010237,0.851999999999999,0.23178082341287,3.01542988160018,0.868,0.908,0.888,0.932,0.00404120374867924,0.044512975071578,0.0384307702076448,0.864399484709764,0.00919984259523121,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_fd","mgcv_sandwich_default",0.946400000000002,0.170692614097572,0.935999999999996,0.267179386017435,3.06783321276971,0.908,0.948,0.92,0.96,0.00404120374867924,0.044512975071578,0.043544834355114,0.981576517073362,0.00919984259523121,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_fe","classic_cluster",0.9976,0.234355348785078,1,0.378241720473601,3.16343670988761,0.988,0.996,1,0.996,0.00380116144199898,0.0386708928688006,0.0597856263262087,1.54569019376981,0.00993981289496548,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_fe","penalty_cluster",0.944399999999999,0.14871052818313,0.935999999999995,0.228170349736832,3.00726408335925,0.912,0.936,0.948,0.964,0.00380116144199898,0.0386708928688006,0.0379370563327031,0.984335856374148,0.00993981289496548,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_fe","penalty_cluster_delta",0.97096,0.168743310568285,0.996,0.264590646319098,3.07318829671421,0.948,0.96,0.98,0.972,0.00380116144199898,0.0386708928688006,0.0430475539089776,1.12002441280548,0.00993981289496548,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_fe","mgcv_sandwich_freq",0.94552,0.149170211030767,0.943999999999999,0.22935699649032,3.01362750448327,0.908,0.932,0.952,0.96,0.00380116144199898,0.0386708928688006,0.0380543245200938,0.988022673732754,0.00993981289496548,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_fe","mgcv_sandwich_default",0.97096,0.169111512860921,0.996,0.264598789917647,3.06671145481008,0.948,0.972,0.976,0.976,0.00380116144199898,0.0386708928688006,0.0431414847912644,1.12303469584205,0.00993981289496548,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_re","classic_cluster",0.99088,0.234545980092964,1,0.379438961625579,3.17082035886886,0.968,0.984,1,0.996,0.0206216869315907,0.0383542528513597,0.0598342576555061,1.56060150196374,0.0410538872003905,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_re","penalty_cluster",0.89528,0.144501970862241,0.835999999999999,0.222194534497669,3.01366677299065,0.828,0.856,0.952,0.924,0.0206216869315907,0.0383542528513597,0.0368634250430248,0.965867510565115,0.0410538872003905,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_re","penalty_cluster_delta",0.942640000000001,0.166738848088577,0.964000000000001,0.261314000674683,3.07166504669592,0.9,0.92,0.98,0.948,0.0206216869315907,0.0383542528513597,0.0425362020434538,1.11704389062155,0.0410538872003905,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_re","mgcv_sandwich_freq",0.8964,0.144981652339319,0.839999999999998,0.223131772168561,3.01644785698432,0.832,0.876,0.944,0.92,0.0206216869315907,0.0383542528513597,0.0369857950153462,0.969659315796981,0.0410538872003905,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
"pl","bam_re","mgcv_sandwich_default",0.944480000000001,0.167113833907192,0.955999999999999,0.261918063133172,3.07185495405779,0.9,0.924,0.976,0.952,0.0206216869315907,0.0383542528513597,0.0426318634488606,1.12006483438028,0.0410538872003905,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260905,"h4"
