"method","vcov_type","n_success","rejection_frequency","beta_coverage","mean_beta_hat","sd_beta_hat","mean_se","se_to_sd","mean_delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
"bam_fd","classic_cluster",1000,0.829,0.944,1.07443831197868,0.0258410700456116,0.0251889066800313,0.974762524755004,1.08910009415499e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fd","penalty_cluster",1000,0.832,0.942,1.07443831197868,0.0258410700456116,0.0250153715500332,0.968047047040971,1.08910009415499e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fd","penalty_cluster_delta",1000,0.832,0.942,1.07443831197868,0.0258410700456116,0.0250371937165708,0.968891523159765,1.08910009415499e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fd","mgcv_sandwich_freq",1000,0.878,0.913,1.07443831197868,0.0258410700456116,0.0220906548705897,0.85486610390351,1.08910009415499e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fd","mgcv_sandwich_default",1000,0.877,0.913,1.07443831197868,0.0258410700456116,0.0221152939346453,0.855819588570057,1.08910009415499e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fe","classic_cluster",1000,0.756,0.941,1.0741844995345,0.028653579276266,0.0279714634919992,0.976194395203124,1.12618154960505e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fe","penalty_cluster",1000,0.758,0.938,1.0741844995345,0.028653579276266,0.0278002771009047,0.97022004939997,1.12618154960505e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fe","penalty_cluster_delta",1000,0.758,0.938,1.0741844995345,0.028653579276266,0.0278206132201996,0.970929772925218,1.12618154960505e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fe","mgcv_sandwich_freq",1000,0.765,0.932,1.0741844995345,0.028653579276266,0.0274126024871351,0.956690339550047,1.12618154960505e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fe","mgcv_sandwich_default",1000,0.765,0.932,1.0741844995345,0.028653579276266,0.0274331519159647,0.957407507504233,1.12618154960505e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_re","classic_cluster",1000,0.772,0.948,1.07624616688864,0.0286419363988265,0.0279747543688238,0.976706112997653,3.22170663053802e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_re","penalty_cluster",1000,0.779,0.944,1.07624616688864,0.0286419363988265,0.0277107865786855,0.967489983666777,3.22170663053802e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_re","penalty_cluster_delta",1000,0.778,0.944,1.07624616688864,0.0286419363988265,0.027768986222061,0.969521956734698,3.22170663053802e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_re","mgcv_sandwich_freq",1000,0.794,0.936,1.07624616688864,0.0286419363988265,0.027338460005584,0.954490633067118,3.22170663053802e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_re","mgcv_sandwich_default",1000,0.793,0.936,1.07624616688864,0.0286419363988265,0.0273972785997284,0.956544216083481,3.22170663053802e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1.075,1
