"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp","mc_seed","chunk"
"pl","bam_fd","penalty_cluster_delta",0.96416,0.190830971936296,0.979999999999999,0.29857123644053,3.06666906395038,0.936,0.976,0.972,0.984,0.00243050926612354,0.045868443358448,0.0486822649399546,1.06437287386079,0.00570940441846557,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"pl","bam_fd","mgcv_sandwich_freq",0.902319999999999,0.150432011175201,0.823999999999993,0.231889010115034,3.02096335026771,0.872,0.932,0.908,0.94,0.00243050926612354,0.045868443358448,0.0383762182269136,0.838065668613226,0.00570940441846557,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"pl","bam_fd","mgcv_sandwich_default",0.94056,0.170538232123506,0.928000000000002,0.26729608478455,3.07202738277423,0.908,0.972,0.944,0.952,0.00243050926612354,0.045868443358448,0.0435054504747765,0.951997152275009,0.00570940441846557,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"pl","bam_fe","classic_cluster",0.9956,0.234174521823525,1,0.379238872742705,3.1741190467286,0.988,0.992,0.996,1,0.00223993468627651,0.0395836067165136,0.0597394961516293,1.50730587612735,0.00471932720143886,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"pl","bam_fe","penalty_cluster",0.939280000000001,0.148520776782722,0.935999999999996,0.227938933691086,3.00802555296341,0.9,0.952,0.928,0.944,0.00223993468627651,0.0395836067165136,0.0378886494737237,0.958840222912996,0.00471932720143886,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"pl","bam_fe","penalty_cluster_delta",0.965920000000001,0.168566823975095,0.984,0.264215530929699,3.07219652264491,0.952,0.98,0.956,0.976,0.00223993468627651,0.0395836067165136,0.0430025309915715,1.09113417009353,0.00471932720143886,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"pl","bam_fe","mgcv_sandwich_freq",0.940239999999999,0.148747912708207,0.944000000000001,0.228677309670289,3.01305304749322,0.908,0.948,0.936,0.944,0.00223993468627651,0.0395836067165136,0.0379465933765905,0.96112084579783,0.00471932720143886,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"pl","bam_fe","mgcv_sandwich_default",0.96664,0.168726374541986,0.984,0.263952865544053,3.06589232799732,0.952,0.98,0.956,0.976,0.00223993468627651,0.0395836067165136,0.0430432334147153,1.09289549211283,0.00471932720143886,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"pl","bam_re","classic_cluster",0.99176,0.234358521838761,0.996,0.378936860926254,3.1691586049237,0.972,0.984,0.996,0.996,0.0183048903583719,0.0392479331478734,0.0597864357935531,1.51981505507048,0.0342023104228824,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"pl","bam_re","penalty_cluster",0.898,0.144381613155918,0.863999999999998,0.221988522847762,3.01348435905958,0.836,0.896,0.92,0.908,0.0183048903583719,0.0392479331478734,0.0368327209823195,0.940083892878981,0.0342023104228824,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"pl","bam_re","penalty_cluster_delta",0.9456,0.166606389585063,0.952000000000002,0.2614855288374,3.07598984390916,0.916,0.944,0.96,0.944,0.0183048903583719,0.0392479331478734,0.0425024109879654,1.08716000588749,0.0342023104228824,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"pl","bam_re","mgcv_sandwich_freq",0.89952,0.144637835410602,0.863999999999998,0.222567702624329,3.01595515054185,0.844,0.904,0.916,0.908,0.0183048903583719,0.0392479331478734,0.0368980850034712,0.942528364432747,0.0342023104228824,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"pl","bam_re","mgcv_sandwich_default",0.946239999999999,0.166783985548336,0.956,0.261381986640143,3.07166719394641,0.916,0.944,0.964,0.944,0.0183048903583719,0.0392479331478734,0.042547716913144,1.08900266252515,0.0342023104228824,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
