"sim","method","vcov_type","beta_hat","variance","se","t_stat","reject","beta_covered","delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
1,"bam_fe","classic_cluster",1.07447724058542,0.000624501602969199,0.0249900300713944,2.98027814983184,1,1,4.09631787546259e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fe","penalty_cluster",1.07447724058542,0.000618654451843064,0.0248727652632968,2.99432892953478,1,1,4.09631787546259e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fe","penalty_cluster_delta",1.07447724058542,0.000619064083630611,0.0248809984452114,2.99333809892792,1,1,4.09631787546259e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fe","mgcv_sandwich_freq",1.07447724058542,0.000579153606610744,0.024065610455809,3.09475800425582,1,1,4.09631787546259e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fe","mgcv_sandwich_default",1.07447724058542,0.000579563238398291,0.0240741196806506,3.09366413282717,1,1,4.09631787546259e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_re","classic_cluster",1.07804979506494,0.000625526099834826,0.0250105197833797,3.12067864806257,1,1,4.55121703761714e-06,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_re","penalty_cluster",1.07804979506494,0.000609177752122836,0.024681526535505,3.16227584029954,1,1,4.55121703761714e-06,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_re","penalty_cluster_delta",1.07804979506494,0.000613728969160453,0.024773553825813,3.15052881042908,1,1,4.55121703761714e-06,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_re","mgcv_sandwich_freq",1.07804979506494,0.000577762561557959,0.0240366919845048,3.2471105056908,1,1,4.55121703761714e-06,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_re","mgcv_sandwich_default",1.07804979506494,0.000582313778595576,0.0241311785579481,3.23439631750734,1,1,4.55121703761714e-06,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fd","classic_cluster",1.05678592646767,0.000591985444853684,0.0243307510129401,2.33391589258651,1,1,3.59528108153143e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fd","penalty_cluster",1.05678592646767,0.0005844975560584,0.0241763842635411,2.34881799729257,1,1,3.59528108153143e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fd","penalty_cluster_delta",1.05678592646767,0.000584857084166553,0.0241838186431869,2.34809594404828,1,1,3.59528108153143e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fd","mgcv_sandwich_freq",1.05678592646767,0.000450671972623574,0.0212290360738206,2.67491779985687,1,1,3.59528108153143e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fd","mgcv_sandwich_default",1.05678592646767,0.000451031500731727,0.0212375022244078,2.67385146650642,1,1,3.59528108153143e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fe","classic_cluster",1.06223906225098,0.00064319269194804,0.0253612438959141,2.45410132509328,1,1,7.1393472386098e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fe","penalty_cluster",1.06223906225098,0.000639241702145464,0.0252832296620796,2.46167372929907,1,1,7.1393472386098e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fe","penalty_cluster_delta",1.06223906225098,0.000639955636869325,0.0252973444627954,2.46030022410103,1,1,7.1393472386098e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
