"model","method","vcov_type","x","point_coverage","mean_estimate","mean_reported_se","empirical_sd","truth","bias","se_to_sd","abs_bias","error_design","rho","df_correction","M","n","T","K","dgp","sample","error_label"
"np","bam_fd","classic_cluster",0.41734693877551,0.997,0.495039741178345,0.0621353077558941,0.0385834505228067,0.49629381256425,-0.00125407138590566,1.61041345224336,0.00125407138590566,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.435714285714286,0.997,0.391760044369011,0.0624116647168239,0.0383903755059288,0.393025031653924,-0.00126498728491342,1.62571123346229,0.00126498728491342,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.454081632653061,0.997,0.283451446889801,0.0616913226724016,0.0382007034687581,0.284527586631033,-0.00107613974123155,1.61492635136562,0.00107613974123155,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.472448979591837,0.999,0.171620891734953,0.0625960458700259,0.0381057719536821,0.17224488860532,-0.000623996870366128,1.64269197711339,0.000623996870366128,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.490816326530612,0.997,0.0577975323591406,0.061894555664562,0.0382688634147753,0.0576707063353748,0.000126826023765764,1.6173606985324,0.000126826023765764,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.509183673469388,0.997,-0.0566435173486168,0.0623383280133464,0.0387092962460877,-0.0576707063353744,0.00102718898675761,1.61042266480489,0.00102718898675761,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.527551020408163,0.996,-0.170445509174987,0.063203249807737,0.0392617959952325,-0.172244888605319,0.00179937943033176,1.60979008233377,0.00179937943033176,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.545918367346939,0.997,-0.282269028672627,0.062634580766635,0.039853539184837,-0.284527586631032,0.00225855795840496,1.57161903428806,0.00225855795840496,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.564285714285714,0.996,-0.390603076083653,0.0640551855939998,0.0404729048974094,-0.393025031653923,0.00242195557027014,1.5826683495135,0.00242195557027014,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.58265306122449,0.997,-0.493858668347302,0.0642261882394957,0.0410399992844318,-0.49629381256425,0.00243514421694757,1.56496562766412,0.00243514421694757,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.601020408163265,0.996,-0.590565251955961,0.0644944876455851,0.0415998434254968,-0.592960078525026,0.00239482656906487,1.5503540959497,0.00239482656906487,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.619387755102041,0.998,-0.679429855915566,0.0661689105765354,0.0421884388461252,-0.681737816190999,0.00230796027543345,1.56841334702795,0.00230796027543345,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.637755102040816,0.995,-0.759278473098864,0.0658653549827427,0.0427231911130394,-0.761445958369134,0.00216748527027011,1.54167685668593,0.00216748527027011,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.656122448979592,0.996,-0.829033166534196,0.0675665782221921,0.0432547604829509,-0.831024096513103,0.0019909299789076,1.56206108802345,0.0019909299789076,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.674489795918367,0.995,-0.887797751862837,0.0689623986327415,0.0438881804285647,-0.889546588018411,0.00174883615557453,1.57132052318709,0.00174883615557453,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.692857142857143,0.994,-0.934891525367012,0.0686524876610403,0.0446294903612748,-0.936234870639737,0.00134334527272528,1.53827630800397,0.00134334527272528,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.711224489795918,0.995,-0.969777918424067,0.0714585689783097,0.0455343758070523,-0.970467820203915,0.000689901779847513,1.56933234971989,0.000689901779847513,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.729591836734694,0.997,-0.991936554613127,0.0725756104705483,0.0466417150120655,-0.991790013823246,-0.000146540789881411,1.55602362502696,0.000146540789881411,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.747959183673469,0.995,-1.00080886769174,0.0734498826377184,0.0477668577978406,-0.999917788678319,-0.000891079013421892,1.53767457236927,0.000891079013421892,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"np","bam_fd","classic_cluster",0.766326530612245,0.994,-0.995965840435107,0.0773785198629403,0.0486407654719075,-0.994743015766457,-0.00122282466864965,1.59081624460927,0.00122282466864965,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi","n=200, T=4","Heteroskedastic AR(1), rho=0.5"
