"method","vcov_type","n_success","rejection_frequency","beta_coverage","mean_beta_hat","sd_beta_hat","mean_se","se_to_sd","mean_delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null","sample","error_label"
"bam_fe","penalty_cluster_delta",1000,0.05,0.95,1.00033573537769,0.0459137365490811,0.0468545072043716,1.02048996065229,6.81839140448738e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fe","mgcv_sandwich_freq",1000,0.048,0.952,1.00033573537769,0.0459137365490811,0.0466038645655768,1.01503097043208,6.81839140448738e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fe","mgcv_sandwich_default",1000,0.048,0.952,1.00033573537769,0.0459137365490811,0.0466769795725696,1.01662341340206,6.81839140448738e-06,"hetero",NA,"substantive",1000,200,4,20,"baseline",1,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_re","classic_cluster",1000,0.042,0.958,1.00617358163388,0.0454461421639688,0.0476092183081211,1.04759647444547,3.68670209589296e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_re","penalty_cluster",1000,0.05,0.95,1.00617358163388,0.0454461421639688,0.04607089781912,1.01374716588478,3.68670209589296e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_re","penalty_cluster_delta",1000,0.045,0.955,1.00617358163388,0.0454461421639688,0.0464691227584258,1.02250973450653,3.68670209589296e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_re","mgcv_sandwich_freq",1000,0.048,0.952,1.00617358163388,0.0454461421639688,0.0459666956568395,1.01145429442597,3.68670209589296e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_re","mgcv_sandwich_default",1000,0.045,0.955,1.00617358163388,0.0454461421639688,0.0463649245272752,1.02021694954858,3.68670209589296e-05,"hetero",NA,"substantive",1000,200,4,20,"baseline",1,1,"n=200, T=4","Heteroskedastic, serially independent"
"bam_fd","classic_cluster",1000,0.515,0.94,1.07528081524739,0.03731842583763,0.0378842347548591,1.01516165016421,5.07092302688729e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_fd","penalty_cluster",1000,0.525,0.937,1.07528081524739,0.03731842583763,0.037174850455204,0.996152694568343,5.07092302688729e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_fd","penalty_cluster_delta",1000,0.524,0.937,1.07528081524739,0.03731842583763,0.0372431770336733,0.997983601873131,5.07092302688729e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_fd","mgcv_sandwich_freq",1000,0.597,0.919,1.07528081524739,0.03731842583763,0.0338756472828626,0.907745879481983,5.07092302688729e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_fd","mgcv_sandwich_default",1000,0.596,0.919,1.07528081524739,0.03731842583763,0.0339503988496923,0.909748953436789,5.07092302688729e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_fe","classic_cluster",1000,0.478,0.949,1.07493765611579,0.038019093997837,0.0391237781846422,1.02905603660277,4.72427460941486e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
"bam_fe","penalty_cluster",1000,0.485,0.946,1.07493765611579,0.038019093997837,0.0385155959871676,1.01305927988076,4.72427460941486e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1,"n=200, T=4","Heteroskedastic AR(1), rho=0.5"
