"model","method","se_type","x","point_coverage","df_correction"
"pl","bam_fd","penalty",0.178571428571429,0.95,"substantive"
"np","bam_fe","penalty",0.178571428571429,0.955,"substantive"
"pl","bam_fe","penalty",0.178571428571429,0.944,"substantive"
"np","bam_re","penalty",0.178571428571429,0.908,"substantive"
"pl","bam_re","penalty",0.178571428571429,0.898,"substantive"
"np","bam_fd","classic",0.196938775510204,0.99,"substantive"
"pl","bam_fd","classic",0.196938775510204,0.989,"substantive"
"np","bam_fe","classic",0.196938775510204,0.995,"substantive"
"pl","bam_fe","classic",0.196938775510204,0.996,"substantive"
"np","bam_re","classic",0.196938775510204,0.989,"substantive"
"pl","bam_re","classic",0.196938775510204,0.987,"substantive"
"np","bam_fd","penalty",0.196938775510204,0.939,"substantive"
"pl","bam_fd","penalty",0.196938775510204,0.945,"substantive"
"np","bam_fe","penalty",0.196938775510204,0.957,"substantive"
"pl","bam_fe","penalty",0.196938775510204,0.945,"substantive"
"np","bam_re","penalty",0.196938775510204,0.9,"substantive"
"pl","bam_re","penalty",0.196938775510204,0.901,"substantive"
"np","bam_fd","classic",0.21530612244898,0.996,"substantive"
"pl","bam_fd","classic",0.21530612244898,0.992,"substantive"
"np","bam_fe","classic",0.21530612244898,0.995,"substantive"
"pl","bam_fe","classic",0.21530612244898,0.995,"substantive"
"np","bam_re","classic",0.21530612244898,0.993,"substantive"
"pl","bam_re","classic",0.21530612244898,0.993,"substantive"
"np","bam_fd","penalty",0.21530612244898,0.946,"substantive"
"pl","bam_fd","penalty",0.21530612244898,0.941,"substantive"
"np","bam_fe","penalty",0.21530612244898,0.955,"substantive"
"pl","bam_fe","penalty",0.21530612244898,0.951,"substantive"
"np","bam_re","penalty",0.21530612244898,0.905,"substantive"
"pl","bam_re","penalty",0.21530612244898,0.909,"substantive"
"np","bam_fd","classic",0.233673469387755,0.996,"substantive"
"pl","bam_fd","classic",0.233673469387755,0.993,"substantive"
"np","bam_fe","classic",0.233673469387755,0.994,"substantive"
"pl","bam_fe","classic",0.233673469387755,0.994,"substantive"
"np","bam_re","classic",0.233673469387755,0.988,"substantive"
"pl","bam_re","classic",0.233673469387755,0.992,"substantive"
"np","bam_fd","penalty",0.233673469387755,0.952,"substantive"
"pl","bam_fd","penalty",0.233673469387755,0.943,"substantive"
"np","bam_fe","penalty",0.233673469387755,0.945,"substantive"
"pl","bam_fe","penalty",0.233673469387755,0.944,"substantive"
"np","bam_re","penalty",0.233673469387755,0.912,"substantive"
"pl","bam_re","penalty",0.233673469387755,0.904,"substantive"
"np","bam_fd","classic",0.252040816326531,0.996,"substantive"
"pl","bam_fd","classic",0.252040816326531,0.995,"substantive"
"np","bam_fe","classic",0.252040816326531,0.996,"substantive"
"pl","bam_fe","classic",0.252040816326531,0.992,"substantive"
"np","bam_re","classic",0.252040816326531,0.99,"substantive"
"pl","bam_re","classic",0.252040816326531,0.989,"substantive"
"np","bam_fd","penalty",0.252040816326531,0.958,"substantive"
"pl","bam_fd","penalty",0.252040816326531,0.944,"substantive"
"np","bam_fe","penalty",0.252040816326531,0.947,"substantive"
"pl","bam_fe","penalty",0.252040816326531,0.944,"substantive"
"np","bam_re","penalty",0.252040816326531,0.914,"substantive"
"pl","bam_re","penalty",0.252040816326531,0.9,"substantive"
"np","bam_fd","classic",0.270408163265306,0.998,"substantive"
"pl","bam_fd","classic",0.270408163265306,0.992,"substantive"
"np","bam_fe","classic",0.270408163265306,0.995,"substantive"
"pl","bam_fe","classic",0.270408163265306,0.995,"substantive"
"np","bam_re","classic",0.270408163265306,0.994,"substantive"
"pl","bam_re","classic",0.270408163265306,0.989,"substantive"
"np","bam_fd","penalty",0.270408163265306,0.951,"substantive"
"pl","bam_fd","penalty",0.270408163265306,0.945,"substantive"
"np","bam_fe","penalty",0.270408163265306,0.937,"substantive"
"pl","bam_fe","penalty",0.270408163265306,0.946,"substantive"
"np","bam_re","penalty",0.270408163265306,0.914,"substantive"
"pl","bam_re","penalty",0.270408163265306,0.915,"substantive"
"np","bam_fd","classic",0.288775510204082,0.996,"substantive"
"pl","bam_fd","classic",0.288775510204082,0.992,"substantive"
"np","bam_fe","classic",0.288775510204082,0.994,"substantive"
"pl","bam_fe","classic",0.288775510204082,0.992,"substantive"
"np","bam_re","classic",0.288775510204082,0.992,"substantive"
"pl","bam_re","classic",0.288775510204082,0.987,"substantive"
"np","bam_fd","penalty",0.288775510204082,0.947,"substantive"
"pl","bam_fd","penalty",0.288775510204082,0.937,"substantive"
"np","bam_fe","penalty",0.288775510204082,0.939,"substantive"
"pl","bam_fe","penalty",0.288775510204082,0.94,"substantive"
"np","bam_re","penalty",0.288775510204082,0.918,"substantive"
"pl","bam_re","penalty",0.288775510204082,0.925,"substantive"
"np","bam_fd","classic",0.307142857142857,0.998,"substantive"
"pl","bam_fd","classic",0.307142857142857,0.986,"substantive"
"np","bam_fe","classic",0.307142857142857,0.995,"substantive"
"pl","bam_fe","classic",0.307142857142857,0.993,"substantive"
"np","bam_re","classic",0.307142857142857,0.991,"substantive"
"pl","bam_re","classic",0.307142857142857,0.99,"substantive"
"np","bam_fd","penalty",0.307142857142857,0.94,"substantive"
"pl","bam_fd","penalty",0.307142857142857,0.946,"substantive"
"np","bam_fe","penalty",0.307142857142857,0.94,"substantive"
"pl","bam_fe","penalty",0.307142857142857,0.945,"substantive"
"np","bam_re","penalty",0.307142857142857,0.924,"substantive"
"pl","bam_re","penalty",0.307142857142857,0.926,"substantive"
"np","bam_fd","classic",0.325510204081633,0.996,"substantive"
"pl","bam_fd","classic",0.325510204081633,0.992,"substantive"
"np","bam_fe","classic",0.325510204081633,0.997,"substantive"
"pl","bam_fe","classic",0.325510204081633,0.993,"substantive"
"np","bam_re","classic",0.325510204081633,0.996,"substantive"
"pl","bam_re","classic",0.325510204081633,0.992,"substantive"
"np","bam_fd","penalty",0.325510204081633,0.954,"substantive"
"pl","bam_fd","penalty",0.325510204081633,0.944,"substantive"
"np","bam_fe","penalty",0.325510204081633,0.945,"substantive"
"pl","bam_fe","penalty",0.325510204081633,0.951,"substantive"
"np","bam_re","penalty",0.325510204081633,0.927,"substantive"
"pl","bam_re","penalty",0.325510204081633,0.922,"substantive"
"np","bam_fd","classic",0.343877551020408,0.992,"substantive"
"pl","bam_fd","classic",0.343877551020408,0.995,"substantive"
"np","bam_fe","classic",0.343877551020408,0.994,"substantive"
"pl","bam_fe","classic",0.343877551020408,0.991,"substantive"
"np","bam_re","classic",0.343877551020408,0.997,"substantive"
"pl","bam_re","classic",0.343877551020408,0.992,"substantive"
"np","bam_fd","penalty",0.343877551020408,0.953,"substantive"
