"method","n_success","rejection_classic_cluster","rejection_penalty_cluster","rejection_wild_boot","mean_beta_hat","sd_beta_hat","mean_se_classic_cluster","mean_se_penalty_cluster","mean_p_boot","min_boot_success","mean_boot_success","error_design","rho","df_correction"
"bam_fd",1000,0.056,0.058,NA,0.999438655470849,0.0258411581264479,0.0251888919909806,0.025015357103978,NA,NA,NA,"hetero_ar1",0.5,"substantive"
"bam_fe",1000,0.059,0.062,NA,0.999184851490905,0.0286538167910109,0.0279714386400261,0.0278002537116009,NA,NA,NA,"hetero_ar1",0.5,"substantive"
"bam_re",1000,0.052,0.056,NA,1.00124651863812,0.0286421747372263,0.0279747292844623,0.0277107630369724,NA,NA,NA,"hetero_ar1",0.5,"substantive"
